time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q3,AL1,NP10,0.0008494194994980401,0.004449199625435402
2019Q4,AL10,NP10,0.0008455665991462263,0.0034538883754711715
2019Q2,B1,NP10,0.004244192748310813,0.006434678658574099
2019Q1,B10,NP10,0.007894053110641456,0.01564390466721061
2021Q3,B11,NP10,0.003800879890469007,0.005721955525176874
2021Q4,B11,NP10,0.0031392631075045424,0.004725938309182676
2022Q1,B11,NP10,0.002358198904124357,0.003550101460126748
2022Q2,B11,NP10,0.003959383870672928,0.0059605720433059005
2022Q4,B11,NP10,0.0031440195667583365,0.004733098821772347
2019Q2,B13,NP10,0.0018682005266425774,0.005953411530716229
2019Q4,B13,NP10,0.0012164143491052856,0.0038763586182617438
2020Q3,B13,NP10,0.0017169557515782064,0.005471438436828394
2021Q2,B13,NP10,0.004792867485844022,0.015273474206057644
2021Q3,B13,NP10,0.005295972359080747,0.016876723060113917
2022Q1,B13,NP10,0.0022292068353178818,0.007103833602693328
2022Q2,B13,NP10,0.003740895039068612,0.0119211440866118
2022Q4,B13,NP10,0.0006538749314929832,0.00208370916359418
2023Q1,B13,NP10,0.0022140475452455165,0.007055525355785549
2023Q2,B13,NP10,0.002142302011646243,0.006826893214366064
2023Q3,B13,NP10,0.0008735738702870536,0.0027838257607419844
2019Q2,B14,NP10,0.0019406222298197023,0.005670016595829262
2019Q3,B14,NP10,0.0035165299493981252,0.010274427895567527
2020Q1,B14,NP10,0.0037362699240522977,0.010916453573678002
2020Q3,B14,NP10,0.0017594385780823872,0.005140642925643606
2021Q2,B14,NP10,0.002830903949310814,0.008271198859389645
2021Q3,B14,NP10,0.0056919764091223745,0.01663054262023524
2021Q4,B14,NP10,0.003400826462900987,0.009936371019503072
2022Q2,B14,NP10,0.004126527566754163,0.012056689564365569
2022Q4,B14,NP10,0.0013417393268586766,0.003920229364409727
2023Q1,B14,NP10,0.0014291382611697613,0.004175587362677985
2023Q2,B14,NP10,0.002622520313277632,0.007662353584687644
2023Q3,B14,NP10,0.003076497716144687,0.008988762902706648
2019Q1,B15,NP10,0.0034902929192388017,0.01427584335342352
2019Q2,B15,NP10,0.005649164546230674,0.023105965603967462
2019Q3,B15,NP10,0.008779287996501737,0.035908659557428724
2019Q4,B15,NP10,0.004399531583453584,0.017994771547002502
2020Q1,B15,NP10,0.005127686891736343,0.020973040522855545
2020Q3,B15,NP10,0.004687011273923554,0.01917060839605843
2020Q4,B15,NP10,0.0017399930798005293,0.007116843548102729
2021Q2,B15,NP10,0.003008957381228313,0.012307105800424054
2021Q3,B15,NP10,0.0031731258158409787,0.012978580347213177
2021Q4,B15,NP10,0.0017200946227965614,0.007035455750076472
2022Q3,B15,NP10,0.003162227280530255,0.012934003635035224
2022Q4,B15,NP10,0.0028669312197130013,0.011726196610050766
2023Q1,B15,NP10,0.0033899376280291976,0.013865374533142395
2023Q2,B15,NP10,0.005436593793032147,0.022236518011917446
2023Q3,B15,NP10,0.0025879089899027105,0.010584952096463249
2019Q4,B16,NP10,0.002219896684784382,0.004100048997471458
2022Q1,B16,NP10,0.0029297022883046303,0.005411027915121172
2019Q1,B17,NP10,0.002230775356812681,0.0068242710548261825
2019Q2,B17,NP10,0.0038066193856550272,0.0116450105166045
2019Q3,B17,NP10,0.002871102105185168,0.008783125083406104
2022Q2,B18,NP10,0.002754600002318207,0.003918414023189811
2022Q3,B18,NP10,0.004189433730651049,0.005959462668115953
2022Q4,B18,NP10,0.004292023136960843,0.006105395931739241
2023Q1,B19,NP10,0.003920900658747379,0.005185925603851524
2022Q4,B20,NP10,0.005167254622705397,0.007006208585977817
2023Q3,B20,NP10,0.006649521070398981,0.009015993021005395
2020Q3,B23,NP10,0.004274458874285054,0.00963088943310712
2021Q3,B23,NP10,0.004360265855404531,0.00982422327302823
2021Q4,B23,NP10,0.004658822226853102,0.010496908047297296
2022Q1,B23,NP10,0.002640679630226157,0.005949780848276398
2022Q2,B23,NP10,0.0011055090347881279,0.002490849858305457
2022Q3,B23,NP10,0.0023188474996841428,0.00522465288320974
2019Q4,B24,NP10,0.0029731019481113266,0.006344012449868268
2019Q2,B26,NP10,0.0017713591830532934,0.002933994820545079
2023Q2,B27,NP10,0.001446399726051792,0.0028546240683187288
2020Q3,B28,NP10,0.003402107710801969,0.007662151880107653
2021Q4,B28,NP10,0.008262427908698935,0.018608457731624284
2022Q1,B28,NP10,0.003015836340157041,0.006792200026607658
2022Q2,B28,NP10,0.00275933710400423,0.0062145181095142246
2022Q3,B28,NP10,0.004816928480049189,0.010848579982511123
2023Q1,B28,NP10,0.00454368156332355,0.010233179308959424
2023Q2,B28,NP10,0.0068216795804900395,0.015363636153313497
2023Q3,B28,NP10,0.002152882991710668,0.004848675546107032
2019Q1,B29,NP10,0.0020588106224350166,0.0054879782123876345
2019Q2,B29,NP10,0.00433532185354195,0.01155626050140858
2019Q3,B29,NP10,0.002326452976579116,0.006201407311814826
2019Q4,B29,NP10,0.001595184751968266,0.004252134250784464
2020Q1,B29,NP10,0.0029021450971129887,0.007735975756384258
2020Q3,B29,NP10,0.003319877530263257,0.008849485890223052
2021Q1,B29,NP10,0.0013575831144187972,0.003618781869613589
2021Q2,B29,NP10,0.005494991884199399,0.014647484042056432
2021Q3,B29,NP10,0.0009654269084951912,0.002573447883811659
2022Q1,B29,NP10,0.0014013199763626169,0.003735367116848228
2022Q2,B29,NP10,0.002473591952443748,0.006593621867606789
2022Q3,B29,NP10,0.0022712143793144303,0.0060541629684215965
2022Q4,B29,NP10,0.0008220335635409732,0.002191217704729236
2023Q1,B29,NP10,0.0019848060359626022,0.005290711133156704
2023Q2,B29,NP10,0.0017340001035875338,0.0046221613027774494
2020Q3,B30,NP10,0.0046223766064249616,0.0035900389669649107
2022Q3,B30,NP10,0.005143346770904465,0.003994658354426304
2022Q4,B30,NP10,0.0065726385456866,0.005104739510405257
2023Q3,B30,NP10,0.0020045404858101,0.0015568568006584073
2019Q1,B31,NP10,0.002007553394413464,0.010079581271296486
2019Q3,B31,NP10,0.0021574409657445425,0.01083214105924188
2020Q3,B31,NP10,0.002057248094423259,0.010329089836745013
2021Q2,B31,NP10,0.000960268726219984,0.004821344575518288
2022Q2,B31,NP10,0.0016674640791887946,0.008372051149385008
2022Q4,B31,NP10,0.003051001487141355,0.015318555179685571
2023Q1,B31,NP10,0.0009788490000716657,0.004914632943764
2023Q2,B31,NP10,0.0015338869752821115,0.007701383420915848
2019Q2,B32,NP10,0.0015990656804487087,0.002310828520663736
2023Q3,B33,NP10,0.0031041889166623605,0.0033077534072678922
2019Q1,B43,NP10,0.00493391967834,0.0059179115246378615
2019Q4,B44,NP10,0.0006370453504901558,0.001984571362528739
2019Q2,B45,NP10,0.002773599268818506,0.004519291966982178
2019Q3,B45,NP10,0.0012796275754514243,0.00208502024336412
2019Q3,B49,NP10,0.0017920321222274548,0.0019653085751396245
2022Q3,B5,NP10,0.0045518685197171215,0.004344111539260234
2022Q4,B5,NP10,0.0051841253185625396,0.004947510790302487
2023Q3,B5,NP10,0.0027850790462261407,0.002657962102827773
2019Q4,B6,NP10,0.0014825230030032813,0.0031203698524565077
2020Q4,B6,NP10,0.0005876426020954183,0.0012368524845031226
2022Q2,B6,NP10,0.001860436995397816,0.003915791863649931
2022Q3,B6,NP10,0.0021749580358539737,0.004577786295179489
2023Q2,B6,NP10,0.001271452743525924,0.002676115515026939
2023Q3,B6,NP10,0.006293918681754688,0.01324725084776082
2019Q1,B60,NP10,0.003657052684001028,0.012468973725866608
2019Q2,B60,NP10,0.004770886647156927,0.01626666755793197
2019Q3,B60,NP10,0.0018799349735058504,0.006409768142945244
2019Q4,B60,NP10,0.002639558141335855,0.008999755802316142
2020Q3,B60,NP10,0.0024683242128062852,0.008415921895532991
2020Q4,B60,NP10,0.0022997228321501176,0.007841063842559427
2021Q3,B60,NP10,0.0026255671846603518,0.008952052669148336
2021Q4,B60,NP10,0.005578250626983257,0.019019430813355383
2022Q1,B60,NP10,0.0028223575329946464,0.00962302295448748
2022Q2,B60,NP10,0.006761447789724893,0.023053623265459868
2022Q3,B60,NP10,0.0060960047615456325,0.020784749297434204
2022Q4,B60,NP10,0.005550357451201017,0.01892432710388976
2023Q1,B60,NP10,0.0039229400192147615,0.01337553496063492
2023Q2,B60,NP10,0.0033503164879651604,0.011423135478614704
2019Q1,B61,NP10,0.0063446005224292,0.008658673357551827
2019Q2,B61,NP10,0.0069094107465620565,0.009429487409986382
2019Q3,B61,NP10,0.003872382644875808,0.0052847608480469785
2019Q4,B61,NP10,0.00332235222511644,0.004534117253611497
2020Q1,B61,NP10,0.007566299151941743,0.010325963415755156
2022Q1,B61,NP10,0.0037473454998760967,0.005114118773374825
2023Q2,B61,NP10,0.007381108203141935,0.01007322757702678
2019Q2,B63,NP10,0.002994770391265094,0.005856694184610677
2019Q3,B65,NP10,0.0016385945569327074,0.0022303483932474364
2019Q3,B67,NP10,0.004077767226116123,0.003761588712247022
2019Q1,B71,NP10,0.011152999053630984,0.0183668156447954
2019Q2,B71,NP10,0.006621825257923288,0.010904855560328537
2019Q4,B73,NP10,0.0008586486446125397,0.002630731984529025
2019Q4,B77,NP10,0.001423120759297324,0.009396811268027884
2020Q1,B77,NP10,0.001042207536551537,0.006881656007833545
2021Q3,B77,NP10,0.0011881486666423984,0.007845299638739232
2021Q4,B77,NP10,0.0012027962379408954,0.007942016984844784
2022Q1,B77,NP10,0.0009269667383793182,0.006120725479818536
2022Q2,B77,NP10,0.0009430958679843363,0.006227225498053639
2022Q4,B77,NP10,0.0005446636001088563,0.0035963926612346186
2023Q1,B77,NP10,0.0007399849158181117,0.0048860917456953114
2023Q2,B77,NP10,0.0003728486579432779,0.0024619052510767877
2019Q2,B78,NP10,0.008868466194506855,0.012571943913951876
2021Q3,B78,NP10,0.003706689762036597,0.0052546060133383645
2022Q3,B78,NP10,0.005886011620707418,0.008344014212766298
2022Q1,B79,NP10,0.0010968910749359448,0.002356212051161649
2022Q2,B79,NP10,0.0012880711655552648,0.0027668825760227642
2022Q3,B79,NP10,0.0024129913451325985,0.005183303444311645
2022Q1,B8,NP10,0.009450201353568728,0.0073362981311326375
2021Q4,B80,NP10,0.03840208963117835,0.011230709309303552
2019Q2,B90,NP10,0.004140882312438915,0.027479828568776333
2019Q3,B90,NP10,0.0032427560081019647,0.02151965993463041
2019Q4,B90,NP10,0.001822498236742363,0.012094509173113829
2020Q1,B90,NP10,0.0015404375204999552,0.010222690670799906
2023Q2,B90,NP10,0.00162674262866486,0.010795430825683568
2021Q4,B94,NP10,0.026703352108123548,0.00819192895945329
2021Q4,B95,NP10,0.20798445286515568,0.0622612620809269
2019Q3,B97,NP10,0.00420483117376538,0.004737738027112135
2021Q3,B97,NP10,0.0026820265510932124,0.003021938017421035
2019Q1,B98,NP10,0.003780197123089208,0.028817735047854807
2019Q2,B98,NP10,0.002992372725985928,0.022811880326340992
2019Q4,B98,NP10,0.0010991784832785868,0.008379413366554669
2020Q3,B98,NP10,0.0011583536193509108,0.008830525659703927
2021Q2,B98,NP10,0.0008208449961724777,0.006257582037342242
2021Q4,B98,NP10,0.0016774093903765392,0.012787465257671963
2022Q1,B98,NP10,0.00046705097337297776,0.003560489245996269
2022Q2,B98,NP10,0.0016222163057144027,0.012366709503811312
2022Q3,B98,NP10,0.0022291682547110844,0.016993711716508538
2022Q4,B98,NP10,0.0015665734212252024,0.01194252477209082
2023Q2,B98,NP10,0.0008846371951755508,0.0067438917796998794
2023Q3,B98,NP10,0.001741876289120209,0.013278918466819363
2019Q1,BA1,NP10,0.006514606403490461,0.031967957178149944
2019Q2,BA1,NP10,0.008034156463899923,0.03942457209124705
2019Q4,BA1,NP10,0.007226535830191712,0.035461480503589285
2020Q1,BA1,NP10,0.008344926812085537,0.040949559568266916
2020Q3,BA1,NP10,0.011183765953291964,0.054880084680746316
2020Q4,BA1,NP10,0.0029338726766875625,0.014396866101417957
2021Q1,BA1,NP10,0.001868670879444514,0.009169792763248323
2021Q2,BA1,NP10,0.00792966890023511,0.038911839048910615
2021Q3,BA1,NP10,0.011464303963524991,0.05625671843918301
2021Q4,BA1,NP10,0.010914161732175708,0.053557104340587164
2022Q1,BA1,NP10,0.010053043630288994,0.04933149424207147
2022Q2,BA1,NP10,0.010518860040686912,0.05161731139481635
2022Q4,BA1,NP10,0.020471978703521482,0.1004584618029304
2023Q1,BA1,NP10,0.007816241114266166,0.03835523526042622
2023Q2,BA1,NP10,0.006926555405476601,0.03398944047881698
2023Q3,BA1,NP10,0.019206598135606656,0.09424908716020593
2019Q1,BA11,NP10,0.001660285984179909,0.0060835109848102475
2019Q3,BA11,NP10,0.0016464413222869944,0.0060327822829425795
2019Q4,BA11,NP10,0.0014181282598581164,0.005196212537431051
2020Q3,BA11,NP10,0.004245797235815723,0.015557171697814598
2020Q4,BA11,NP10,0.000824211531577185,0.0030200218239111233
2021Q2,BA11,NP10,0.0023931172424281155,0.008768703205936769
2021Q3,BA11,NP10,0.002072928471453416,0.007595488516420719
2021Q4,BA11,NP10,0.0020931862669865873,0.007669715801857305
2022Q2,BA11,NP10,0.0026692398032824253,0.009780453379170242
2022Q4,BA11,NP10,0.0022817819395318157,0.008360755692905527
2023Q2,BA11,NP10,0.0046180892770951686,0.01692129977229187
2023Q3,BA11,NP10,0.0018127699342529629,0.0066422326713845535
2019Q2,BA12,NP10,0.001390853828180923,0.002945693686184541
2019Q3,BA12,NP10,0.00195880485559512,0.004148558948959227
2019Q4,BA12,NP10,0.002441756085580429,0.00517140287409219
2020Q3,BA12,NP10,0.0006691888813827209,0.001417277231304826
2021Q3,BA12,NP10,0.003703562602258672,0.0078437868543893
