time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AL1,NR35,0.0013874981406480132,N/A
2020Q3,AL1,NR35,0.0008620310184972969,N/A
2021Q2,AL1,NR35,0.0007106542820512548,N/A
2021Q3,AL1,NR35,0.0014131640258785618,N/A
2023Q3,AL1,NR35,0.0003782107903853477,N/A
2019Q2,AL3,NR35,0.0018239530197498906,N/A
2019Q3,AL3,NR35,0.005314680272030374,N/A
2021Q3,AL3,NR35,0.0017563880611749009,N/A
2019Q2,AL5,NR35,0.0009376798464082498,N/A
2019Q3,AL5,NR35,0.0015844878198348804,N/A
2020Q3,AL5,NR35,0.0024367727254015004,N/A
2020Q4,AL5,NR35,0.0008191434648988794,N/A
2021Q2,AL5,NR35,0.0022573928200832834,N/A
2021Q3,AL5,NR35,0.0034770870064516394,N/A
2022Q2,AL5,NR35,0.002402353184331327,N/A
2022Q3,AL5,NR35,0.0013675971538685131,N/A
2022Q4,AL5,NR35,0.0012346449887503052,N/A
2023Q3,AL7,NR35,0.0012234645539935614,N/A
2019Q3,AL8,NR35,0.005360904766751019,N/A
2019Q4,AL8,NR35,0.0022025244890975814,N/A
2020Q3,AL8,NR35,0.0028737684296590905,N/A
2021Q2,AL8,NR35,0.001454786601626981,N/A
2020Q4,BA11,NR35,0.0007981736585141689,N/A
2021Q3,BA11,NR35,0.0010801588694344646,N/A
2021Q4,BA11,NR35,0.0007609334447147388,N/A
2022Q3,BA11,NR35,0.0009044445125271763,N/A
2020Q2,BA2,NR35,0.0004272000316717107,N/A
2020Q3,BA2,NR35,0.0005094736036254998,N/A
2021Q3,BA2,NR35,0.0007254358047901608,N/A
2022Q3,BA2,NR35,0.0004115890677596032,N/A
2023Q2,BA2,NR35,0.0006959519397496826,N/A
2020Q4,BA3,NR35,0.0005833705915942253,N/A
2021Q2,BA3,NR35,0.0019091433384151773,N/A
2022Q2,BA3,NR35,0.0020641525736196835,N/A
2023Q2,BL0,NR35,0.002725244261643239,N/A
2023Q3,BL0,NR35,0.005311267506248793,N/A
2023Q2,BL9,NR35,0.0006981253753054227,N/A
2023Q3,BL9,NR35,0.000574929178880334,N/A
2019Q3,BN1,NR35,0.00046924726741618116,N/A
2020Q3,BN1,NR35,0.0004955420429541026,N/A
2020Q4,BN1,NR35,0.0002183715198037155,N/A
2021Q2,BN1,NR35,0.00037065920398772045,N/A
2021Q3,BN1,NR35,0.000460488123849789,N/A
2022Q1,BN1,NR35,0.00022432079949336406,N/A
2022Q3,BN1,NR35,0.0006523046955344028,N/A
2022Q4,BN1,NR35,0.0003110970277362543,N/A
2023Q2,BN1,NR35,0.0004202654427993667,N/A
2023Q3,BN1,NR35,0.0001928659344287065,N/A
2019Q2,BN2,NR35,0.0007528443362664134,N/A
2019Q3,BN2,NR35,0.0006995290078820884,N/A
2020Q3,BN2,NR35,0.0007107270544171571,N/A
2021Q2,BN2,NR35,0.00043798650260753406,N/A
2021Q3,BN2,NR35,0.0005892598167051593,N/A
2021Q4,BN2,NR35,0.0008297852168360017,N/A
2022Q3,BN2,NR35,0.00027774145983196067,N/A
2023Q2,BN2,NR35,0.00039226391497473184,N/A
2023Q3,BN2,NR35,0.0007114248555365531,N/A
2021Q3,BN21,NR35,0.0011998972609023894,N/A
2019Q2,BN3,NR35,0.0004369882998311584,N/A
2020Q4,BN3,NR35,0.0006958001908793928,N/A
2021Q2,BN3,NR35,0.0014290330620459874,N/A
2022Q3,BN3,NR35,0.001050555820764717,N/A
2022Q4,BN3,NR35,0.0011764074613096409,N/A
2023Q2,BN3,NR35,0.00041066844650421917,N/A
2023Q3,BN3,NR35,0.0010332791990937003,N/A
2020Q3,BN7,NR35,0.0019226048256091282,N/A
2021Q3,BN7,NR35,0.001578971530172759,N/A
2021Q3,BR1,NR35,0.0007705854681369711,N/A
2022Q3,BR1,NR35,0.00048019281445068094,N/A
2023Q2,BR2,NR35,0.000517697297376221,N/A
2021Q3,BR3,NR35,0.000746117525859293,N/A
2022Q3,BR3,NR35,0.0004124635621091822,N/A
2023Q3,BR3,NR35,0.0012949328224639474,N/A
2021Q3,BR6,NR35,0.0009338954443303047,N/A
2020Q3,BS5,NR35,0.0010069401325432368,N/A
2019Q3,BS7,NR35,0.0008398451271426483,N/A
2019Q1,CB1,NR35,0.0010775431422061367,N/A
2019Q2,CB1,NR35,0.0024481124537707624,N/A
2019Q3,CB1,NR35,0.003414914472463921,N/A
2020Q2,CB1,NR35,0.0013112690653555054,N/A
2020Q3,CB1,NR35,0.009754672531581209,N/A
2021Q2,CB1,NR35,0.0051811052333753825,N/A
2023Q1,CB1,NR35,0.00528513288646057,N/A
2023Q2,CB1,NR35,0.004429458109245625,N/A
2023Q3,CB1,NR35,0.0041051563847031205,N/A
2019Q1,CB10,NR35,0.0021694414187435345,N/A
2019Q3,CB10,NR35,0.0083209029688545,N/A
2020Q1,CB10,NR35,0.003556682360842403,N/A
2020Q3,CB10,NR35,0.00793080797759166,N/A
2021Q3,CB10,NR35,0.01469718506721184,N/A
2022Q1,CB10,NR35,0.006821724810072207,N/A
2022Q2,CB10,NR35,0.01749945907599553,N/A
2022Q3,CB10,NR35,0.024984055623532717,N/A
2023Q2,CB10,NR35,0.010219105078075124,N/A
2023Q3,CB10,NR35,0.007117977031722476,N/A
2019Q3,CB11,NR35,0.006222822317257014,N/A
2019Q4,CB11,NR35,0.0034040370815890523,N/A
2020Q3,CB11,NR35,0.012193397358993274,N/A
2020Q4,CB11,NR35,0.0028440273117259192,N/A
2021Q2,CB11,NR35,0.015202669189242934,N/A
2021Q3,CB11,NR35,0.010155728600651445,N/A
2021Q4,CB11,NR35,0.009775362609193913,N/A
2022Q1,CB11,NR35,0.0051138190787656645,N/A
2022Q2,CB11,NR35,0.010218790419531634,N/A
2022Q3,CB11,NR35,0.015969126179098982,N/A
2022Q4,CB11,NR35,0.0064755033054248136,N/A
2023Q1,CB11,NR35,0.004281351024029529,N/A
2023Q2,CB11,NR35,0.0056548322346882725,N/A
2023Q3,CB11,NR35,0.006153601778788802,N/A
2019Q1,CB2,NR35,0.0031581426135796863,N/A
2019Q2,CB2,NR35,0.002331765186278645,N/A
2020Q1,CB2,NR35,0.0013664655844059727,N/A
2019Q3,CB21,NR35,0.004842564868328128,N/A
2019Q2,CB22,NR35,0.005823936568899756,N/A
2019Q3,CB22,NR35,0.0038951993593575422,N/A
2019Q2,CB23,NR35,0.003383077239593481,N/A
2020Q3,CB23,NR35,0.0048315686309775285,N/A
2020Q4,CB23,NR35,0.0034032796385624754,N/A
2021Q2,CB23,NR35,0.002913319926832307,N/A
2021Q3,CB23,NR35,0.0054663465598068645,N/A
2021Q4,CB23,NR35,0.004854605550210029,N/A
2022Q1,CB23,NR35,0.0050276658964801355,N/A
2022Q2,CB23,NR35,0.007359651485633226,N/A
2022Q3,CB23,NR35,0.005654455631839589,N/A
2023Q1,CB23,NR35,0.0024375843531517353,N/A
2023Q2,CB23,NR35,0.0014964205522033439,N/A
2019Q2,CB24,NR35,0.009586739416504444,N/A
2020Q3,CB24,NR35,0.035463068181053985,N/A
2020Q4,CB24,NR35,0.011054191578084809,N/A
2021Q2,CB24,NR35,0.0061280712646934405,N/A
2021Q3,CB24,NR35,0.01481472624713206,N/A
2021Q4,CB24,NR35,0.005033234238862297,N/A
2022Q2,CB24,NR35,0.01704481577027131,N/A
2022Q4,CB24,NR35,0.008521029105724928,N/A
2023Q1,CB24,NR35,0.0040193143296982465,N/A
2023Q3,CB24,NR35,0.00794918034512552,N/A
2020Q3,CB25,NR35,0.024914936746969103,N/A
2020Q4,CB25,NR35,0.0038301836560302093,N/A
2021Q3,CB25,NR35,0.03352473851410601,N/A
2022Q2,CB25,NR35,0.011893131337562344,N/A
2022Q3,CB25,NR35,0.004811748938717118,N/A
2022Q4,CB25,NR35,0.008440012393783813,N/A
2023Q2,CB25,NR35,0.01922305513821757,N/A
2023Q3,CB25,NR35,0.008138549628850767,N/A
2019Q2,CB3,NR35,0.0008152508428057742,N/A
2019Q3,CB3,NR35,0.004447570378370568,N/A
2019Q4,CB3,NR35,0.002338288278151764,N/A
2021Q2,CB3,NR35,0.00255605089855586,N/A
2021Q3,CB3,NR35,0.004242026996107346,N/A
2022Q2,CB3,NR35,0.003924652031315288,N/A
2023Q1,CB3,NR35,0.001059031612863442,N/A
2023Q2,CB3,NR35,0.003031300278567273,N/A
2023Q3,CB3,NR35,0.0051759856467075436,N/A
2019Q2,CB4,NR35,0.004272933386697706,N/A
2019Q3,CB4,NR35,0.003334731342505553,N/A
2020Q3,CB4,NR35,0.00652460638513044,N/A
2020Q4,CB4,NR35,0.0028091881616396984,N/A
2021Q2,CB4,NR35,0.0036468302837198733,N/A
2021Q3,CB4,NR35,0.0082931571289879,N/A
2021Q4,CB4,NR35,0.0077949419553745,N/A
2022Q1,CB4,NR35,0.002695053543114736,N/A
2022Q2,CB4,NR35,0.007277942497908925,N/A
2022Q3,CB4,NR35,0.003940829629716882,N/A
2022Q4,CB4,NR35,0.005822264691113896,N/A
