time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2020Q1,BB2,OL5,0.00045998491833195175,N/A
2019Q2,BB4,OL5,0.002186857371646699,N/A
2021Q2,BB4,OL5,0.0006914502780016884,N/A
2021Q4,BB4,OL5,0.00119868418635097,N/A
2022Q1,BB4,OL5,0.001138551381749407,N/A
2022Q2,BB4,OL5,0.0008235700243126491,N/A
2022Q3,BB4,OL5,0.0004910691759295065,N/A
2022Q4,BB4,OL5,0.0012568772230621599,N/A
2023Q1,BB4,OL5,0.0010156686253926038,N/A
2023Q3,BB4,OL5,0.0007988764711685356,N/A
2021Q1,BB5,OL5,0.0003384431318223106,N/A
2021Q2,BB5,OL5,0.0003802153482257308,N/A
2022Q2,BB5,OL5,0.000366967998301033,N/A
2022Q3,BB5,OL5,0.0005441256701268291,N/A
2023Q2,BB5,OL5,0.00044645209784921984,N/A
2020Q3,BL0,OL5,0.0040140630538641146,N/A
2023Q1,BL0,OL5,0.001075175041229437,N/A
2019Q2,BL1,OL5,0.0003561137604430223,N/A
2019Q4,BL1,OL5,0.00090416328502104,N/A
2020Q1,BL1,OL5,0.0010781093533640859,N/A
2021Q1,BL1,OL5,0.0002751699170265812,N/A
2021Q4,BL1,OL5,0.0002791241265477713,N/A
2022Q4,BL1,OL5,0.0005174924896147613,N/A
2023Q3,BL1,OL5,0.0007294146295969601,N/A
2019Q1,BL2,OL5,0.0007180531354260732,N/A
2019Q3,BL2,OL5,0.0007284410466239741,N/A
2020Q4,BL2,OL5,0.0005565764985342097,N/A
2021Q3,BL2,OL5,0.0008999762949351307,N/A
2021Q4,BL2,OL5,0.0015341178595032331,N/A
2022Q2,BL2,OL5,0.0014368546794398915,N/A
2022Q3,BL2,OL5,0.0008255545449697668,N/A
2022Q4,BL2,OL5,0.0012038900542466248,N/A
2023Q1,BL2,OL5,0.0009646687332598092,N/A
2023Q3,BL2,OL5,0.002038036329803704,N/A
2019Q2,BL3,OL5,0.0006512248358854115,N/A
2021Q1,BL3,OL5,0.0005410567159756406,N/A
2021Q3,BL3,OL5,0.0008907576385965717,N/A
2021Q4,BL3,OL5,0.0017629285498629995,N/A
2022Q1,BL3,OL5,0.0017094751371703164,N/A
2022Q2,BL3,OL5,0.001082961898819419,N/A
2022Q3,BL3,OL5,0.001866388478596556,N/A
2022Q4,BL3,OL5,0.0015308463468376745,N/A
2023Q1,BL3,OL5,0.0018417033956516708,N/A
2023Q2,BL3,OL5,0.0012655678775964569,N/A
2023Q3,BL3,OL5,0.0005368408962245809,N/A
2019Q4,BL4,OL5,0.001017445535035488,N/A
2020Q4,BL4,OL5,0.001391131708170392,N/A
2021Q1,BL4,OL5,0.0009508759092217074,N/A
2021Q3,BL4,OL5,0.0005390260418091964,N/A
2021Q4,BL4,OL5,0.001277652541473719,N/A
2022Q1,BL4,OL5,0.0010644996353664014,N/A
2022Q2,BL4,OL5,0.0015063455882433198,N/A
2022Q3,BL4,OL5,0.0019366267852785387,N/A
