time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB10,PE29,0.0031026464410249853,0.0035635593255093564
2021Q3,AB10,PE29,0.0012354179176065224,0.0014189451247089806
2023Q3,AB10,PE29,0.0016241171620765265,0.00186538749053392
2021Q4,AB39,PE29,0.002436398168139362,0.0009000930701811387
2022Q2,AB51,PE29,0.0011095319711984645,0.0010724999160399127
2019Q2,AL1,PE29,0.006242817429997031,0.009617970412876143
2019Q3,AL1,PE29,0.007891229607223561,0.012157589699611726
2020Q1,AL1,PE29,0.004336244570721588,0.006680616957304626
2020Q2,AL1,PE29,0.0005323023729060389,0.0008200894116675266
2020Q3,AL1,PE29,0.004193570745096407,0.006460807128018061
2021Q1,AL1,PE29,0.0023485729053013067,0.0036183189671912717
2021Q2,AL1,PE29,0.006623088422722714,0.010203833318194586
2021Q4,AL1,PE29,0.007318243051652745,0.01127482037306127
2022Q1,AL1,PE29,0.005844370446530432,0.00900410474388071
2022Q2,AL1,PE29,0.005414962665276346,0.008342539452011752
2022Q3,AL1,PE29,0.007545500698596606,0.011624943910857402
2022Q4,AL1,PE29,0.0038370209606258133,0.005911490202413661
2023Q1,AL1,PE29,0.002902709572169417,0.004472047292004678
2023Q2,AL1,PE29,0.002507574315829341,0.0038632838214758135
2023Q3,AL1,PE29,0.0025891352234336962,0.0039889402906874045
2019Q1,AL10,PE29,0.011579153997950179,0.013911707734052006
2019Q2,AL10,PE29,0.011459159438664674,0.013767540963426807
2019Q3,AL10,PE29,0.009966214785101592,0.011973851226926036
2020Q1,AL10,PE29,0.006948005955731658,0.008347641650478322
2020Q2,AL10,PE29,0.001320137674048834,0.0015860717884337448
2020Q3,AL10,PE29,0.004155342455389107,0.0049924122077057475
2020Q4,AL10,PE29,0.009186571122846784,0.01103715284914171
2021Q1,AL10,PE29,0.003920488906433609,0.004710248766926556
2021Q2,AL10,PE29,0.0057053956306862144,0.0068547146480040675
2021Q3,AL10,PE29,0.006853960837147607,0.008234651685599441
2022Q1,AL10,PE29,0.0043633330248173145,0.005242301276789421
2022Q2,AL10,PE29,0.0047331681078497355,0.005686637502549672
2022Q3,AL10,PE29,0.0032633582077949896,0.003920742882113882
2022Q4,AL10,PE29,0.0049299246187440105,0.00592302947685259
2023Q1,AL10,PE29,0.006267493601199339,0.007530044010154935
2023Q2,AL10,PE29,0.0057237157876800105,0.006876725294877296
2023Q3,AL10,PE29,0.008010896034472742,0.009624644800405088
2019Q3,AL2,PE29,0.011684610762544527,0.0017414811940521411
2019Q4,AL2,PE29,0.010017115081133484,0.0014929566664188293
2020Q1,AL2,PE29,0.012490693062582095,0.0018616201695731388
2020Q3,AL2,PE29,0.006909219990988651,0.0010297541719100963
2020Q4,AL2,PE29,0.03042672085275128,0.004534816198721327
2021Q2,AL2,PE29,0.012626433341255086,0.0018818509797719825
2021Q4,AL2,PE29,0.018719619398872376,0.002789982978932428
2022Q1,AL2,PE29,0.02004278856693404,0.002987188882454301
2022Q2,AL2,PE29,0.04868737092226893,0.0072563941214682185
2022Q3,AL2,PE29,0.010673524815830743,0.001590788355620866
2022Q4,AL2,PE29,0.016857469769452262,0.002512447113506638
2023Q1,AL2,PE29,0.003790975202176668,0.000565009152283563
2023Q2,AL2,PE29,0.0038465053161792565,0.0005732853928194539
2023Q3,AL2,PE29,0.019109922458223898,0.0028481539742402488
2019Q1,AL3,PE29,0.012654375189900842,0.008733747553041606
2019Q2,AL3,PE29,0.00699116804186246,0.004825137224258118
2019Q3,AL3,PE29,0.007787119357288816,0.00537448381380709
2019Q4,AL3,PE29,0.005081297495273254,0.0035069901832084816
2020Q1,AL3,PE29,0.008467410810421723,0.00584400472850989
2020Q3,AL3,PE29,0.008604216957460014,0.005938425064086023
2020Q4,AL3,PE29,0.005505813459551353,0.003799980963756849
2021Q2,AL3,PE29,0.011988482121705987,0.008274164059770791
2021Q3,AL3,PE29,0.010697570206438932,0.007383207484518159
2021Q4,AL3,PE29,0.012227710212945423,0.008439273575264585
2022Q1,AL3,PE29,0.007740786643965762,0.005342506081557305
2022Q2,AL3,PE29,0.0074080335210092935,0.005112847822672475
2022Q3,AL3,PE29,0.013601702958317727,0.009387570555376987
2023Q1,AL3,PE29,0.004226334291727649,0.002916914997760661
2023Q2,AL3,PE29,0.010317624765088485,0.007120978214492085
2019Q1,AL4,PE29,0.017230418496744636,0.005200623434664236
2019Q2,AL4,PE29,0.024957266294541,0.00753280275700023
2019Q3,AL4,PE29,0.01470204293777606,0.0044374887965770325
2019Q4,AL4,PE29,0.009923820014432587,0.002995287139322753
2020Q1,AL4,PE29,0.01019851525221993,0.003078197864404528
2020Q3,AL4,PE29,0.006815980011101164,0.002057253884032638
2020Q4,AL4,PE29,0.011368943011364641,0.0034314657803254053
2021Q1,AL4,PE29,0.011445896990322595,0.003454692648926131
2021Q3,AL4,PE29,0.014610739941030288,0.004409930992068637
2021Q4,AL4,PE29,0.018160942472190272,0.005481481661882211
2022Q1,AL4,PE29,0.009407845059733648,0.002839551430314054
2022Q2,AL4,PE29,0.008460515042906387,0.002553620668574081
2022Q3,AL4,PE29,0.008472603598987905,0.00255726933375657
2022Q4,AL4,PE29,0.018084479897951075,0.00545840311300435
2023Q1,AL4,PE29,0.017365751356291387,0.005241470686341374
2023Q2,AL4,PE29,0.005754742380465128,0.001736942610532459
2023Q3,AL4,PE29,0.013701837773210128,0.0041355988326567394
2019Q1,AL5,PE29,0.004187740553469575,0.004179382814846615
2019Q2,AL5,PE29,0.005858188056184371,0.005846496499854029
2019Q4,AL5,PE29,0.00772680056780663,0.0077113797033302066
2020Q1,AL5,PE29,0.007218770519472087,0.007204363562687026
2020Q2,AL5,PE29,0.0030287412745842023,0.003022696624108285
2020Q3,AL5,PE29,0.010451383669876944,0.010430525182622106
2021Q1,AL5,PE29,0.0033842315260516212,0.0033774774012023893
2021Q2,AL5,PE29,0.004708551605828447,0.0046991544516562225
2021Q3,AL5,PE29,0.009668562035019302,0.009649265874400749
2021Q4,AL5,PE29,0.00883735092446024,0.008819713664414409
2022Q1,AL5,PE29,0.0049048440490300224,0.004895055141616879
2022Q2,AL5,PE29,0.009503508743514405,0.009484541990186404
2022Q3,AL5,PE29,0.009552849363701354,0.009533784138177726
2022Q4,AL5,PE29,0.005262890501302308,0.00525238701794427
2023Q1,AL5,PE29,0.005526654756446278,0.005515624862085833
2023Q2,AL5,PE29,0.007709055778498433,0.007693670328420075
2023Q3,AL5,PE29,0.004802298784183652,0.004792714532839734
2019Q1,AL6,PE29,0.023471411227078742,0.0022580787887924282
2019Q3,AL6,PE29,0.03616913574485718,0.00347966969025667
2019Q4,AL6,PE29,0.06107031673442199,0.005875300190034496
2020Q1,AL6,PE29,0.07049810199596478,0.006782304959301164
2020Q2,AL6,PE29,0.012767100881064905,0.0012282652889931858
2020Q3,AL6,PE29,0.01807948027245425,0.0017393453900428789
2020Q4,AL6,PE29,0.06409820956763597,0.006166600125742197
2021Q2,AL6,PE29,0.041965916321682284,0.004037351848230682
2021Q3,AL6,PE29,0.05811488365841834,0.00559097128130147
2021Q4,AL6,PE29,0.015566514224522087,0.0014975842417722304
2022Q1,AL6,PE29,0.04825357321118321,0.004642259005965044
2022Q2,AL6,PE29,0.03596193167317492,0.0034597355195035567
2022Q3,AL6,PE29,0.04365099110106256,0.004199465305322594
2022Q4,AL6,PE29,0.042883534353418,0.0041256317472801824
2023Q1,AL6,PE29,0.0230064354233632,0.002213345560376215
2023Q2,AL6,PE29,0.08000050539046456,0.007696488403154519
2023Q3,AL6,PE29,0.024996457861811563,0.00240479665865091
2019Q1,AL7,PE29,0.008649411240860374,0.006128214981464625
2019Q2,AL7,PE29,0.010755828501005812,0.007620637696881137
