time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q3,AB10,PL29,0.0016476457342833152,0.17351848209148918
2021Q3,AB15,PL29,0.00117390303379164,0.11978609532579645
2019Q2,AL1,PL29,0.007421927066631369,1.0484547267310342
2019Q3,AL1,PL29,0.007827324826218169,1.1057230336584785
2019Q4,AL1,PL29,0.0010525323451822546,0.1486854428016499
2020Q1,AL1,PL29,0.0016147557875918742,0.22810764951176016
2020Q3,AL1,PL29,0.015181650300168026,2.1446280560141977
2020Q4,AL1,PL29,0.006196530267135636,0.8753496753046114
2021Q2,AL1,PL29,0.007771121736204685,1.0977835329260537
2021Q3,AL1,PL29,0.008106087531670443,1.1451023045060462
2021Q4,AL1,PL29,0.002304538487055046,0.3255494493538732
2022Q1,AL1,PL29,0.0018303261184555077,0.2585600819201983
2022Q2,AL1,PL29,0.002163982626452641,0.30569389767634564
2022Q3,AL1,PL29,0.008303327837973325,1.1729653553806478
2023Q2,AL1,PL29,0.0036954638801944602,0.5220378128038171
2023Q3,AL1,PL29,0.006136688128128475,0.8668961061794394
2019Q3,AL10,PL29,0.0007678170379960097,0.08458465014626743
2020Q3,AL10,PL29,0.001082987932909479,0.11930466619608104
2021Q2,AL10,PL29,0.0007812979082367267,0.08606973661420304
2021Q3,AL10,PL29,0.0016143959369222165,0.1778459043817558
2023Q3,AL10,PL29,0.0012538196933408374,0.1381239212723568
2020Q3,AL2,PL29,0.013138146327278931,0.1795431460593965
2021Q3,AL2,PL29,0.00751945414701709,0.10275927977767003
2022Q3,AL2,PL29,0.02708038462792867,0.3700748440060822
2023Q3,AL2,PL29,0.00943176000843954,0.12889244971159947
2019Q2,AL3,PL29,0.00645107817579801,0.4082464621214825
2019Q3,AL3,PL29,0.0039206157482518855,0.2481100778729297
2020Q3,AL3,PL29,0.009262158678748779,0.5861413253977856
2020Q4,AL3,PL29,0.009420497932813831,0.5961615791484722
2021Q3,AL3,PL29,0.008783659516016363,0.5558602491202631
2022Q2,AL3,PL29,0.0057604714618139565,0.3645424889222341
2022Q3,AL3,PL29,0.00608798099383776,0.38526842094726976
2023Q3,AL3,PL29,0.004156964162503709,0.26306702015713845
2019Q3,AL4,PL29,0.008702187883592996,0.2408342421554795
2020Q3,AL4,PL29,0.01158899404442577,0.3207269982409613
2021Q2,AL4,PL29,0.011141226064690838,0.3083349580433153
2021Q3,AL4,PL29,0.006923204520734793,0.19160063381096906
2022Q3,AL4,PL29,0.005653218165569128,0.15645358740315932
2023Q3,AL4,PL29,0.00532102857568676,0.14726019498260545
2019Q2,AL5,PL29,0.011437809671168687,1.0466595672642989
2019Q3,AL5,PL29,0.018266046209534557,1.6715028988017475
2019Q4,AL5,PL29,0.0043940497370344046,0.4020939610400349
2020Q3,AL5,PL29,0.01881473768462557,1.7217129650986185
2020Q4,AL5,PL29,0.006012481525696693,0.5501946170457028
2021Q2,AL5,PL29,0.006775834421866112,0.6200480798103963
2021Q3,AL5,PL29,0.022049877312570118,2.0177565206719685
2021Q4,AL5,PL29,0.003586230836166385,0.3281714701507412
2022Q2,AL5,PL29,0.0045498590930705424,0.4163518791076513
2022Q3,AL5,PL29,0.010517963783864154,0.962485627844512
2023Q2,AL5,PL29,0.00806225733854754,0.7377670218108612
2023Q3,AL5,PL29,0.009592737985563331,0.8778193795406655
2021Q3,AL6,PL29,0.013937865553948143,0.12294938390127105
2019Q3,AL7,PL29,0.003968158356662848,0.2577903393003709
2020Q3,AL7,PL29,0.003020184760347667,0.1962054898370039
2021Q2,AL7,PL29,0.0013809298263079061,0.08971173438080708
2021Q3,AL7,PL29,0.007468819443806426,0.4852098443498825
2022Q2,AL7,PL29,0.000797918947026531,0.051836589571276764
2022Q3,AL7,PL29,0.003435933272467168,0.22321447999561328
2023Q3,AL7,PL29,0.0019698440832538176,0.12797039053095813
2019Q3,AL8,PL29,0.006054956730349831,0.3877544448148397
2020Q3,AL8,PL29,0.003726627093698264,0.2386501314709515
2021Q2,AL8,PL29,0.003916821371465566,0.2508300164588924
2021Q3,AL8,PL29,0.005333637074404747,0.34156172780943544
2022Q3,AL8,PL29,0.0014704166807288945,0.09416427384602798
2021Q2,AL9,PL29,0.022859815844259796,0.2744390833850485
2021Q3,AL9,PL29,0.02070023284911134,0.24851262878365216
2022Q3,AL9,PL29,0.01322370758265108,0.15875465544688372
2021Q3,B10,PL29,0.004068834069134947,0.21746452982488815
2022Q2,B10,PL29,0.0010527812986316123,0.05626736952780996
2020Q3,B11,PL29,0.006104613986518221,0.24785168370726324
2020Q4,B11,PL29,0.002083798099849099,0.08460368971636915
2021Q2,B11,PL29,0.0037275232301463975,0.15134010286154947
2021Q3,B11,PL29,0.00678572555318486,0.2755052993107458
2022Q2,B11,PL29,0.006504558518140119,0.2640897170654605
2022Q3,B11,PL29,0.007073390849463658,0.28718471559886954
2022Q4,B11,PL29,0.0011040344859512344,0.044824587896664964
2019Q2,B13,PL29,0.005862720932391639,0.5038659031110005
2019Q3,B13,PL29,0.0067725631668184225,0.5820614175188416
2020Q3,B13,PL29,0.00850376042263998,0.7308474980481721
2021Q2,B13,PL29,0.008897553838862194,0.7646916938733057
2021Q3,B13,PL29,0.0188432507422477,1.6194650337751095
2021Q4,B13,PL29,0.004783025024022508,0.4110724783122977
2022Q1,B13,PL29,0.001519663446127006,0.13060601102075595
2022Q2,B13,PL29,0.007078755508050434,0.6083768233380306
2022Q3,B13,PL29,0.00676541076690954,0.581446711398414
2022Q4,B13,PL29,0.001934660879778208,0.16627256569848456
2023Q2,B13,PL29,0.006069222743920207,0.5216135023844071
2023Q3,B13,PL29,0.0019978298630442645,0.1717015631160661
2019Q2,B14,PL29,0.0034675492670176245,0.2732368705300529
2019Q3,B14,PL29,0.003177738266829684,0.25040026616231026
2020Q3,B14,PL29,0.006298901947033827,0.4963425529822277
2020Q4,B14,PL29,0.0013680763674903346,0.10780204591604484
2021Q2,B14,PL29,0.00374462321872184,0.2950698175595753
2021Q3,B14,PL29,0.009126388639434373,0.7191436023127746
2022Q2,B14,PL29,0.003673482143044453,0.28946402413390626
2022Q3,B14,PL29,0.004419445164133257,0.3482446169151457
2023Q2,B14,PL29,0.004297908178466064,0.3386677131539712
2023Q3,B14,PL29,0.006610942376011791,0.5209307977993304
2019Q2,B15,PL29,0.0025231588683507643,0.2783285955629751
2019Q3,B15,PL29,0.005130226595666217,0.5659131421339811
2020Q3,B15,PL29,0.0034881970470636626,0.3847815519403824
2020Q4,B15,PL29,0.0026885848262685128,0.2965766635361987
2021Q2,B15,PL29,0.0028460711272404395,0.31394891128474234
2021Q3,B15,PL29,0.0025401231043095376,0.2801999133101174
2021Q4,B15,PL29,0.0015811013116052734,0.17441062194768492
2022Q2,B15,PL29,0.0017462313816865318,0.192626050657877
2022Q3,B15,PL29,0.0018587673888316508,0.20503985036421066
2022Q4,B15,PL29,0.000822050381728993,0.0906800325174098
