time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB51,PO15,0.0014444323280422993,0.0021034404022439073
2019Q1,AL1,PO15,0.001845806517349252,0.004284148766914085
2019Q2,AL1,PO15,0.0017147044824394196,0.003979858682379395
2019Q3,AL1,PO15,0.0014011686421586582,0.0032521365885972127
2019Q4,AL1,PO15,0.0032041152491379165,0.007436806764209459
2020Q1,AL1,PO15,0.0049410968727714435,0.01146837107558087
2020Q3,AL1,PO15,0.0019869014963210907,0.004611632646994891
2020Q4,AL1,PO15,0.0012464994328135735,0.002893146685664747
2021Q3,AL1,PO15,0.0030743610101516693,0.0071356449372628784
2021Q4,AL1,PO15,0.002806630977045308,0.006514238912082256
2022Q1,AL1,PO15,0.002495598186336918,0.005792326439535132
2019Q1,AL10,PO15,0.0018123128890276897,0.0032802909068901857
2019Q2,AL10,PO15,0.0011175048863829632,0.002022686667076601
2019Q4,AL10,PO15,0.0006962894169568934,0.0012602856034605342
2020Q1,AL10,PO15,0.0010947898669297403,0.0019815724244900373
2020Q3,AL10,PO15,0.0022395280864180352,0.0040535514932764
2020Q4,AL10,PO15,0.002466110405463935,0.004463666063077376
2021Q2,AL10,PO15,0.001253054295946218,0.002268031440772511
2021Q3,AL10,PO15,0.0015032651732711766,0.0027209137607423365
2021Q4,AL10,PO15,0.0022843902498381505,0.004134752122384864
2022Q2,AL10,PO15,0.0008623065808737102,0.0015607770894953779
2022Q3,AL10,PO15,0.0008191480439125865,0.0014826600285809065
2022Q4,AL10,PO15,0.002240540386198016,0.004055383758435149
2023Q2,AL10,PO15,0.0014365521487466025,0.002600163017841363
2019Q1,AL3,PO15,0.003039219688775226,0.0031600764367186018
2019Q2,AL3,PO15,0.0015475899894463394,0.001609131013928707
2019Q3,AL3,PO15,0.004393699399037452,0.004568418002884883
2019Q4,AL3,PO15,0.002450905978231679,0.0025483680100611148
2019Q1,AL5,PO15,0.002024213804802188,0.0030434371180762844
2019Q2,AL5,PO15,0.002630954816775802,0.003955681720162732
2019Q3,AL5,PO15,0.0034348799699061767,0.005164395762813597
2019Q4,AL5,PO15,0.0011302866047283894,0.001699403590042684
2020Q1,AL5,PO15,0.0005288957804858907,0.000795203078897087
2021Q3,AL5,PO15,0.0021664099053891554,0.0032572311795264174
2022Q2,AL5,PO15,0.0011317133214566873,0.001701548680960244
2023Q2,AL5,PO15,0.004439199376831981,0.006674405700593392
2023Q3,AL6,PO15,0.01338162129008684,0.0019394750152329247
2019Q1,AL7,PO15,0.0013108847849407433,0.0013992249297666512
2019Q2,AL7,PO15,0.003037308742367493,0.0032419920961329197
2019Q3,AL7,PO15,0.0022253221719701517,0.0023752859866505035
2019Q4,AL7,PO15,0.0020902981083663857,0.0022311626906269507
2020Q3,AL7,PO15,0.001524536814884934,0.0016272749079397338
2020Q4,AL7,PO15,0.0011671103246569195,0.0012457615503728894
2019Q1,AL8,PO15,0.0017943585647242515,0.0018879928332114887
2019Q2,AL8,PO15,0.0031276297959420656,0.0032908376039015217
2019Q3,AL8,PO15,0.004793932141937328,0.005044091913853781
2019Q4,AL8,PO15,0.003119305079898655,0.0032820784826548192
2021Q3,AL8,PO15,0.0036638944120854226,0.003855085894007997
2019Q2,B1,PO15,0.0016274183907876436,0.0010933260270437916
2019Q2,B11,PO15,0.0008130865628634789,0.0005423951763838341
2021Q3,B11,PO15,0.006879514890583631,0.0045891985711487455
2022Q3,B11,PO15,0.0012814303184026225,0.0008548187306476046
2019Q3,B13,PO15,0.0008959805036299235,0.0012652014368132755
2019Q4,B13,PO15,0.0023211120093682967,0.003277609543243236
2021Q2,B13,PO15,0.0012484735575464256,0.001762951908475395
2021Q4,B13,PO15,0.0015039344958849069,0.0021236846977783787
2022Q1,B13,PO15,0.0012362891594715599,0.0017457464917408005
2022Q2,B13,PO15,0.002707183365511896,0.0038227754620622522
