time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AB10,RG21,0.0012092549717827275,0.0006971856128954626
2019Q3,AB10,RG21,0.0011207193564974668,0.0006461411610254545
2019Q4,AB10,RG21,0.0017536663587716449,0.001011061342466028
2023Q2,AB12,RG21,0.011219692323106037,0.003013379733061121
2019Q2,AB15,RG21,0.00141390809546875,0.0007898488637668338
2019Q4,AB15,RG21,0.0012648511979900293,0.0007065814848703678
2019Q2,AB22,RG21,0.003089858946002281,0.0011385980199066991
2019Q1,AB25,RG21,0.001701401677792519,0.0009843627712283023
2019Q2,AB25,RG21,0.001293726203542689,0.0007484980928091288
2019Q3,AB25,RG21,0.0007894337008626912,0.00045673467684036065
2021Q3,AB25,RG21,0.002832701118835797,0.0016388872538415091
2021Q4,AB25,RG21,0.001137759450136504,0.000658261984777551
2022Q1,AB25,RG21,0.0006458722238825427,0.0003736757642000733
2023Q3,AB25,RG21,0.0031663309908497197,0.001831912116615988
2019Q3,AB51,RG21,0.002619238106535443,0.0012708996403457365
2019Q4,AB51,RG21,0.0023930967403133032,0.001161171937361463
2021Q3,AB51,RG21,0.0010045783177204187,0.0004874387782860889
2019Q1,AL1,RG21,0.00376422072652476,0.0029110972535117967
2019Q2,AL1,RG21,0.00922837794301195,0.007136857170719958
2019Q3,AL1,RG21,0.00841835259293754,0.006510416070903378
2019Q4,AL1,RG21,0.006607704294966371,0.005110133337705103
2020Q1,AL1,RG21,0.002541095925871641,0.001965181616101569
2020Q3,AL1,RG21,0.0038452810242146397,0.0029737860348340644
2020Q4,AL1,RG21,0.006100451672011526,0.004717844514917658
2021Q3,AL1,RG21,0.005093744388231151,0.003939297500325077
2021Q4,AL1,RG21,0.0072382994991566935,0.00559781036314111
2022Q1,AL1,RG21,0.00718302061206224,0.005555059890177635
2022Q3,AL1,RG21,0.008367502178163438,0.0064710904007199786
2019Q1,AL10,RG21,0.01298084352988379,0.007828622660954777
2019Q2,AL10,RG21,0.009883922220060732,0.005960899019616686
2019Q3,AL10,RG21,0.008757232564942334,0.005281403257602662
2020Q1,AL10,RG21,0.004484216432690118,0.002704388070063882
2020Q4,AL10,RG21,0.005171790195443764,0.0031190572344967824
2021Q1,AL10,RG21,0.0015809900441828572,0.0009534799844201354
2021Q2,AL10,RG21,0.003995399090152172,0.0024095870029336545
2021Q3,AL10,RG21,0.0053321039142587385,0.003215740906023026
2021Q4,AL10,RG21,0.005350424071252535,0.0032267896176004893
2022Q1,AL10,RG21,0.007108690028124674,0.004287183010546488
2022Q3,AL10,RG21,0.004920764540247113,0.0029676660611705364
2022Q4,AL10,RG21,0.01193807599554964,0.007199739527851534
2023Q1,AL10,RG21,0.007561632454069649,0.0045603482583747535
2023Q2,AL10,RG21,0.006156831952080486,0.003713126502818206
2023Q3,AL10,RG21,0.005304895271391943,0.0031993316335723987
2019Q2,AL2,RG21,0.0066636136803105385,0.0004985321612041624
2019Q3,AL2,RG21,0.004754691374221579,0.00035571788527497715
2020Q1,AL2,RG21,0.007877911979700461,0.0005893787775574058
2021Q2,AL2,RG21,0.020153848794939214,0.001507791759598933
2021Q3,AL2,RG21,0.03523296168764193,0.002635921795356094
2021Q4,AL2,RG21,0.02251656558104932,0.0016845562543914845
2022Q1,AL2,RG21,0.022106558287696882,0.0016538819338394956
