time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q4,AB10,RH1,0.0013099810218447218,0.0010857022109891103
2022Q3,AB10,RH1,0.0038301467943958204,0.003174396249826977
2022Q4,AB10,RH1,0.0019932135675729263,0.0016519600980478425
2023Q3,AB10,RH1,0.0006787386142639003,0.0005625333511719766
2019Q2,AB15,RH1,0.0015645643158817913,0.0012564101057987189
2021Q3,AB15,RH1,0.00300259553227655,0.002411208879100735
2021Q4,AB15,RH1,0.0019020747657880074,0.0015274450103854606
2022Q2,AB15,RH1,0.0020150136203333107,0.0016181395997658132
2022Q3,AB15,RH1,0.002723460369473052,0.002187051753778324
2019Q1,AB25,RH1,0.0006341875859210892,0.0005274499355490363
2019Q2,AB25,RH1,0.00048643096359354685,0.0004045616566647777
2021Q3,AB25,RH1,0.0013417258727015235,0.0011159052002776822
2019Q3,AB42,RH1,0.004128350336689702,0.0015025933657617672
2022Q2,AB42,RH1,0.0015557841475674088,0.0005662578870587317
2021Q4,AB51,RH1,0.0007390946755453968,0.0005155271396356881
2022Q2,AB51,RH1,0.0008529479078271368,0.0005949410944624779
2022Q3,AB51,RH1,0.0010629779675943136,0.0007414395060081783
2019Q1,AL1,RH1,0.003418203004485607,0.0038000968734231743
2019Q2,AL1,RH1,0.006294014420865771,0.006997204230007893
2019Q3,AL1,RH1,0.004167635300681143,0.004633258426987362
2019Q4,AL1,RH1,0.006115643257493074,0.006798904802106175
2020Q1,AL1,RH1,0.0038842130721787587,0.004318171253119344
2020Q2,AL1,RH1,0.0007563445638607763,0.0008408460845029523
2020Q3,AL1,RH1,0.003058534035163289,0.003400244400063489
2020Q4,AL1,RH1,0.004143317211374177,0.0046062234337403965
2021Q2,AL1,RH1,0.0023833267859023123,0.00264960058123172
2021Q3,AL1,RH1,0.004774181974749219,0.00530757066551931
2021Q4,AL1,RH1,0.00251385119398775,0.002794707643164552
2022Q1,AL1,RH1,0.003619120868237127,0.004023461999735182
2022Q2,AL1,RH1,0.004799982639572125,0.005336253872923055
2022Q3,AL1,RH1,0.004594944371139932,0.005108307995577912
2022Q4,AL1,RH1,0.0033514100893582447,0.0037258416148533264
2023Q1,AL1,RH1,0.0010052632167193913,0.001117574819813124
2023Q2,AL1,RH1,0.0016637000338454787,0.0018495745538324574
2023Q3,AL1,RH1,0.003280631549142568,0.0036471554429009603
2019Q1,AL10,RH1,0.004052038497354014,0.00351294371870582
2019Q2,AL10,RH1,0.00405702592553831,0.003517267605195041
2019Q4,AL10,RH1,0.003609070927777629,0.003128909820175514
2020Q1,AL10,RH1,0.004242474307183046,0.003678043404306636
2020Q2,AL10,RH1,0.00034062653084420064,0.00029530860398662817
2020Q4,AL10,RH1,0.00424402979221082,0.0036793919431621852
2021Q2,AL10,RH1,0.003244075131498286,0.0028124741074519468
