time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,S11,0.00038937075147041714,0.0007524929753862344
2019Q3,AB10,S11,0.0014139871253318118,0.0027326535829427932
2021Q3,AB10,S11,0.0009133270021390527,0.0017650841793966177
2021Q4,AB10,S11,0.0009659886472868492,0.0018668574068317813
2022Q1,AB10,S11,0.0008024508654938883,0.0015508063641052202
2022Q2,AB10,S11,0.0004313657661885717,0.0008336520081520884
2022Q3,AB10,S11,0.0006462996607054733,0.0012490305264038954
2022Q4,AB10,S11,0.0004572962672814543,0.0008837649656532677
2023Q3,AB10,S11,0.0018724197890755039,0.0036186147339845602
2019Q3,AB15,S11,0.0011499665005413016,0.0021533597734221892
2021Q3,AB15,S11,0.001152125586502635,0.0021574027510691965
2022Q2,AB15,S11,0.0005462754035995881,0.00102292325799718
2022Q3,AB15,S11,0.0007429121583743594,0.001391133703700566
2023Q2,AB15,S11,0.0008237046219398105,0.001542420928985501
2023Q3,AB15,S11,0.0017418492631512779,0.0032616846950493674
2019Q4,AB25,S11,0.000759012462822079,0.0014719932566407165
2021Q2,AB25,S11,0.0006982729350929378,0.0013541978585303743
2021Q4,AB25,S11,0.0006629359132403483,0.001285666891748383
2022Q2,AB25,S11,0.0006947469540340849,0.0013473597358434606
2022Q3,AB25,S11,0.0009577799936068918,0.0018574737056263808
2022Q4,AB25,S11,0.00092831102782305,0.001800322972221152
2023Q2,AB25,S11,0.0009595301155923076,0.0018608678103176962
2023Q3,AB25,S11,0.0008695789929595327,0.0016864208118449655
2021Q4,AB39,S11,0.0017016968123579573,0.0010578126576917262
2020Q3,AL1,S11,0.005935462196737278,0.015386674485033409
2021Q2,AL1,S11,0.00568777581443737,0.01474458973872348
2021Q3,AL1,S11,0.006483976629181294,0.01680860469747723
2021Q4,AL1,S11,0.00651251139430633,0.01688257621442618
2022Q1,AL1,S11,0.004981588513161424,0.012913919477497628
2022Q2,AL1,S11,0.004969785671716318,0.01288332262197151
2022Q3,AL1,S11,0.008499624687129698,0.022033828869756567
2022Q4,AL1,S11,0.0047861773584691215,0.012407349352318877
2023Q1,AL1,S11,0.002250164548652143,0.005833168218458986
2023Q2,AL1,S11,0.003482704666542875,0.009028318478897722
2023Q3,AL1,S11,0.006194335285202941,0.01605775886113237
2019Q2,AL10,S11,0.0014485516046751526,0.002928363649040527
2020Q1,AL10,S11,0.0013698885046991,0.002769339861591565
2020Q3,AL10,S11,0.0012126610657011386,0.0024514919399107786
2020Q4,AL10,S11,0.0008029018669558247,0.0016231307420127984
2021Q1,AL10,S11,0.0003848961285394493,0.0007780985004839482
2021Q2,AL10,S11,0.0017062436242765528,0.003449308805853085
2021Q3,AL10,S11,0.0009071934345323617,0.001833964539308597
2020Q3,AL2,S11,0.020055327624934626,0.005029464192877323
2021Q2,AL2,S11,0.027015101913258958,0.006774832617081743
2021Q3,AL2,S11,0.007223094506336613,0.0018114037257722093
2022Q3,AL2,S11,0.02537646596851593,0.006363896382911216
2022Q4,AL2,S11,0.006770096156982168,0.0016978010452217273
2019Q2,AL3,S11,0.0036935940490196366,0.004289399630257815
2019Q4,AL3,S11,0.003676659829122344,0.004269733788369903
2020Q1,AL3,S11,0.002475017900471227,0.002874257627196624
2020Q2,AL3,S11,0.0008637741555226231,0.0010031076761964149
2020Q3,AL3,S11,0.019440613382853918,0.02257653622723697
2020Q4,AL3,S11,0.025815745450635384,0.029980026911776238
2021Q3,AL3,S11,0.0094907276671087,0.011021656198785269
2021Q4,AL3,S11,0.018064557585311385,0.020978511877279046
2022Q1,AL3,S11,0.010904778008786278,0.012663803909730287
2022Q2,AL3,S11,0.0208372567218452,0.02419846904994696
2022Q3,AL3,S11,0.006981540465068059,0.008107717494682832
2023Q2,AL3,S11,0.0023131972458689145,0.002686334036567202
2023Q3,AL3,S11,0.0026757786647866053,0.003107402671507389
2019Q1,AL4,S11,0.0028144713862311693,0.001429367294782143
2019Q4,AL4,S11,0.004919944044234114,0.002498660012459199
2020Q3,AL4,S11,0.007477509043497085,0.0037975539298428533
2021Q2,AL4,S11,0.012351654167942684,0.0062729543425056895
2021Q3,AL4,S11,0.005150805981107984,0.0026159063642224173
2021Q4,AL4,S11,0.005503536288234557,0.002795045213297848
2022Q1,AL4,S11,0.004043081464077167,0.0020533335116369664
2022Q2,AL4,S11,0.005713759226920469,0.002901809771161416
2022Q3,AL4,S11,0.012897113405767279,0.006549973181282129
2022Q4,AL4,S11,0.007330185908812569,0.0037227338867210726
2023Q1,AL4,S11,0.0040246046466517575,0.0020439498104315662
2019Q3,AL5,S11,0.007105732942019698,0.011932424262056205
2019Q4,AL5,S11,0.006272827605345783,0.010533753649408749
2020Q2,AL5,S11,0.0010324376157793312,0.0017337386243062385
2020Q3,AL5,S11,0.01399513996011131,0.02350157949553314
2020Q4,AL5,S11,0.008005902027779795,0.01344404868229845
2021Q1,AL5,S11,0.002674618293314735,0.004491398772695337
2021Q2,AL5,S11,0.006929652319135668,0.011636737847477532
2021Q3,AL5,S11,0.01090968669557729,0.01832027903102376
2021Q4,AL5,S11,0.01658715729951066,0.027854269195623126
2022Q1,AL5,S11,0.015448667073594562,0.02594243990163142
2022Q2,AL5,S11,0.015667043902819578,0.026309152948206283
2022Q3,AL5,S11,0.006118979984811054,0.01027540238643454
2022Q4,AL5,S11,0.008056401855308487,0.013528851386277041
2023Q2,AL5,S11,0.006077961878872507,0.01020652202652256
2023Q3,AL5,S11,0.0050953999020532355,0.008556537926804947
2020Q3,AL7,S11,0.00169967035226619,0.0020262805007150147
2021Q3,AL7,S11,0.0014053806955000294,0.0016754398849024759
2022Q3,AL7,S11,0.002258816513329225,0.0026928726794284113
2021Q3,AL8,S11,0.003755551234645011,0.004413434191403662
2022Q4,AL8,S11,0.006253688089365732,0.007349185009478227
2023Q1,AL8,S11,0.0034265550587661547,0.004026805736419464
