time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2020Q3,AL1,SA12,0.0013534951749187194,0.0046382384246002285
2021Q3,AL1,SA12,0.0013335092867947061,0.004569749584769583
2022Q2,AL1,SA12,0.0007787757388747218,0.002668755399450971
2023Q2,AL1,SA12,0.00207420016371442,0.007107993495603005
2019Q3,AL10,SA12,0.0017601917954779575,0.004703890058156579
2021Q3,AL5,SA12,0.001127581787597659,0.002503075749340421
2021Q3,B10,SA12,0.0016062204934215185,0.002082509405332201
2022Q2,B10,SA12,0.0028997160349364644,0.003759562239605332
2022Q3,B10,SA12,0.0009918648189843923,0.0012859802392093213
2020Q3,B11,SA12,0.0068260549682663315,0.0067230571838766216
2021Q2,B11,SA12,0.0032631990176386306,0.003213960874904363
2021Q3,B11,SA12,0.006753971163236991,0.006652061045477996
2021Q4,B11,SA12,0.001778312829464534,0.0017514800128174155
2022Q2,B11,SA12,0.0032625960861839237,0.0032133670410329994
2022Q3,B11,SA12,0.0037862755507883407,0.003729144749083243
2022Q4,B11,SA12,0.0018721021668633038,0.0018438541705851452
2021Q3,B12,SA12,0.00386952102247114,0.0021263211487306103
2023Q3,B12,SA12,0.003007746294665165,0.0016527716270884705
2020Q3,B13,SA12,0.0011580874772819678,0.002414462539424664
2021Q2,B13,SA12,0.0007727123724569322,0.0016110053114692044
2021Q3,B13,SA12,0.0035719275031680727,0.007447006654610573
2022Q2,B13,SA12,0.0033342526212401745,0.006951485279727965
2022Q3,B13,SA12,0.004937687760105283,0.010294440067800836
2022Q4,B13,SA12,0.0010921651365288637,0.0022770229889745343
2023Q1,B13,SA12,0.0005904844137164747,0.001231083596878785
2023Q2,B13,SA12,0.002024698834383384,0.004221235083820192
2023Q3,B13,SA12,0.00208267758054742,0.004342113267413393
2020Q3,B14,SA12,0.00398062105200971,0.0076090573199516735
2022Q3,B14,SA12,0.0021488677948666114,0.004107614869765884
2023Q2,B14,SA12,0.002666495922405721,0.005097074062540794
2023Q3,B14,SA12,0.001925054726117373,0.003679790556218772
2019Q1,B15,SA12,0.00108063169350175,0.0028917070273775125
2019Q2,B15,SA12,0.0011427681391646992,0.003057980511359425
2019Q3,B15,SA12,0.0024881454743660865,0.006658131347274161
2019Q4,B15,SA12,0.0007837822215429228,0.0020973552521163005
2021Q2,B15,SA12,0.0035594073863789797,0.00952476538897186
2021Q3,B15,SA12,0.0014123712728467176,0.003779422683525393
2021Q4,B15,SA12,0.00118162807502375,0.003161967420389384
2022Q1,B15,SA12,0.0019906840492668804,0.005326953752299915
2022Q2,B15,SA12,0.0021488854125103255,0.005750291321041167
2022Q3,B15,SA12,0.003813057234210232,0.010203517503940886
2023Q1,B15,SA12,0.0049255215274543905,0.013180406701088495
2023Q2,B15,SA12,0.003959077881518163,0.01059426019129838
2023Q3,B15,SA12,0.003033022925262853,0.008116191446096509
2019Q3,B16,SA12,0.0024426289762498102,0.0029515522853027485
2021Q2,B16,SA12,0.0030929155315481123,0.003737326460199813
2021Q3,B16,SA12,0.004268171013090255,0.005157447172796132
2021Q4,B16,SA12,0.0046643822185016654,0.005636209236198021
2022Q2,B16,SA12,0.003977783583324836,0.004806557336361285
2022Q3,B16,SA12,0.003660366861018258,0.004423006637001418
2022Q2,B17,SA12,0.0031431165211261345,0.006290680143982385
2022Q2,B18,SA12,0.0039300888458678905,0.003657554776813254
2022Q3,B18,SA12,0.004149376360530086,0.0038616356839386726
2023Q2,B20,SA12,0.003316429852635175,0.0029419189802784
2020Q3,B23,SA12,0.005291475263442924,0.007800073881907086
2021Q4,B23,SA12,0.0012021929571762711,0.0017721322352326296
2022Q1,B23,SA12,0.002264776120867071,0.00333846804326701
2022Q2,B23,SA12,0.0028798380549112713,0.004245120401757277
2022Q3,B23,SA12,0.0046261914030471035,0.006819390234120112
2019Q2,B24,SA12,0.004381856187355353,0.006117148690461579
2021Q3,B24,SA12,0.001951299025940737,0.0027240479310290827
2022Q2,B24,SA12,0.0010751168449333645,0.001500882119101818
2020Q3,B27,SA12,0.0055050571449411605,0.007108191440226792
2023Q2,B27,SA12,0.0035196493174799244,0.004544610617548508
2023Q3,B27,SA12,0.0017978178824219796,0.002321362584703045
2020Q3,B28,SA12,0.005686509252893364,0.008378863961863176
2021Q2,B28,SA12,0.002894572385635076,0.004265046827218601
2021Q3,B28,SA12,0.0058450300797056815,0.008612438617933005
2021Q4,B28,SA12,0.0037088052087786813,0.00546478919199762
2022Q2,B28,SA12,0.0026266094964698485,0.0038702132843028187
2022Q3,B28,SA12,0.0019435817644449132,0.002863796835423405
2023Q1,B28,SA12,0.0019890781373379397,0.002930834081346272
2019Q2,B29,SA12,0.001042306928797822,0.0018177254802451304
2020Q3,B29,SA12,0.0006134889415389552,0.0010698906915740966
2021Q3,B29,SA12,0.0023420030200556816,0.0040843233857001645
2022Q2,B29,SA12,0.0008823798393198591,0.0015388215053278498
2022Q3,B29,SA12,0.003686230501026236,0.006428581565221353
2020Q3,B30,SA12,0.0042616450219473785,0.00216544820269937
2021Q3,B30,SA12,0.009460049457293349,0.004806887244067597
2022Q3,B30,SA12,0.01034304973607217,0.0052555617246537135
2019Q1,B31,SA12,0.0009578984858799855,0.0031465277397339205
2019Q2,B31,SA12,0.000725193110126764,0.002382131584205959
2019Q3,B31,SA12,0.0021275719201040554,0.006988698869000108
2019Q4,B31,SA12,0.001097039628550902,0.0036035818760603937
2021Q2,B31,SA12,0.0014676206796748715,0.004820875330815282
2021Q3,B31,SA12,0.0025088592263231018,0.008241160485247995
2021Q4,B31,SA12,0.0014344172281323534,0.004711807843108097
2022Q1,B31,SA12,0.0008012617556146753,0.002632003680967667
2022Q2,B31,SA12,0.0025849680453760983,0.008491164545092229
2022Q3,B31,SA12,0.0023055609002118928,0.007573361306128574
2022Q4,B31,SA12,0.0012209549900547107,0.004010622004109768
2023Q1,B31,SA12,0.004797607489547042,0.01575929524133972
2023Q2,B31,SA12,0.0037971651982423404,0.012473018597211477
2023Q3,B31,SA12,0.0009754141602569223,0.003204063643714964
2020Q3,B33,SA12,0.004048658128180553,0.0028224923905929783
2023Q3,B33,SA12,0.003737084559254017,0.0026052811567562877
2021Q3,B38,SA12,0.012465527871289649,0.002436302429582605
2019Q4,B45,SA12,0.0026386051824269247,0.002812793104027366
2020Q3,B45,SA12,0.004529698406416833,0.004828727134225539
2021Q3,B45,SA12,0.004508406354276208,0.004806029484031183
2022Q1,B45,SA12,0.003718867351061621,0.00396436894368464
2023Q2,B45,SA12,0.002794767529958313,0.002979264532633068
2021Q3,B49,SA12,0.0035636490378487353,0.002556916687010755
2021Q3,B5,SA12,0.0063984430313375204,0.003995050360371779
2023Q2,B5,SA12,0.00349352791459647,0.002181283772602409
2021Q2,B6,SA12,0.0019525316693400363,0.0026886818249122948
