time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2022Q2,AB25,SE28,0.0009310648962412779,0.005462291100715783
2019Q2,AL1,SE28,0.001855568410681501,0.014551413035111163
2020Q4,AL1,SE28,0.0009872990224807552,0.007742423174795534
2023Q3,AL1,SE28,0.0010335861853421498,0.008105408242412758
2019Q1,AL10,SE28,0.0026239551004252986,0.016046688045349675
2019Q2,AL10,SE28,0.0030716138153235447,0.018784326257066775
2019Q3,AL10,SE28,0.0033941177110822385,0.020756585389020272
2019Q4,AL10,SE28,0.003867108610718536,0.023649141520610616
2020Q1,AL10,SE28,0.004212179384499236,0.02575940745447848
2020Q3,AL10,SE28,0.004617247437922689,0.028236584251204018
2022Q3,AL10,SE28,0.002584944523538241,0.015808120488429868
2022Q4,AL10,SE28,0.002758640351639789,0.01687035008522154
2023Q1,AL10,SE28,0.0016336049425033116,0.009990242934203869
2023Q3,AL10,SE28,0.0036601797215473813,0.022383676524063208
2023Q3,AL2,SE28,0.00352745595149772,0.0026760334248669237
2021Q3,AL5,SE28,0.0003715110913955911,0.0018872505657852327
2021Q4,AL5,SE28,0.0006756098173791332,0.0034320509929033
2023Q3,AL5,SE28,0.002342401358477666,0.011899236365936221
2019Q1,AL7,SE28,0.00197553812128486,0.007124563400798159
2019Q2,AL7,SE28,0.0014940150963214784,0.0053880029753964505
2019Q3,AL7,SE28,0.0013143598228567473,0.0047400957685971535
2020Q1,AL7,SE28,0.001988098499294513,0.007169861038187997
2021Q3,AL7,SE28,0.0008853391779737131,0.003192879467484961
2021Q4,AL8,SE28,0.0019227120947405054,0.006835262490001736
2022Q3,AL9,SE28,0.008502395157567285,0.005666432453219314
2020Q1,B1,SE28,0.002247852943449665,0.005102325875591214
2022Q1,B1,SE28,0.0013891427858090482,0.0031531685387065373
2023Q2,B10,SE28,0.0009471825557176762,0.002810265423665473
2023Q2,B11,SE28,0.000638906364837192,0.0014400118926229106
2019Q2,B13,SE28,0.0008132848356568745,0.003880195618813418
2019Q3,B13,SE28,0.0008396157946134673,0.0040058210665079
2021Q4,B13,SE28,0.0009120892273185119,0.0043515930319169855
2022Q3,B13,SE28,0.0008877837267431957,0.004235631080199004
2023Q3,B14,SE28,0.0007745091975008357,0.003387961292510525
2019Q1,B15,SE28,0.00044706186361703613,0.002737638211717101
2019Q4,B15,SE28,0.0013164542991844668,0.008061469534144617
2021Q4,B15,SE28,0.0008682828561805921,0.00531703667681904
2022Q2,B15,SE28,0.0005797675582829063,0.0035502778264907726
2022Q4,B15,SE28,0.0008234065343129067,0.005042231009987364
