time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2020Q1,AB10,SO14,0.004218639421327235,0.003314249234924542
2021Q2,AB10,SO14,0.0006387064661623385,0.0005017808362853413
2021Q3,AB10,SO14,0.0039099528186757075,0.0030717387393611613
2021Q4,AB10,SO14,0.005484171845183062,0.00430847733755219
2022Q1,AB10,SO14,0.00193918308123198,0.0015234618087671765
2022Q2,AB10,SO14,0.003571306672928819,0.00280569141524578
2022Q3,AB10,SO14,0.0033664195562257927,0.002644727914467308
2022Q4,AB10,SO14,0.002010388650468113,0.0015794023573170626
2023Q1,AB10,SO14,0.0011974777720831712,0.0009407629791496095
2023Q2,AB10,SO14,0.003229483782526127,0.0025371483756891078
2023Q3,AB10,SO14,0.00872734403964069,0.006856379609045229
2021Q3,AB11,SO14,0.005311885435123363,0.001571245628801628
2021Q4,AB11,SO14,0.0034277088147048537,0.0010139097609857867
2022Q3,AB11,SO14,0.0038234352936328563,0.001130964902293111
2022Q4,AB11,SO14,0.003609143471796996,0.0010675777881582382
2023Q2,AB11,SO14,0.0013105824417400627,0.000387667798547017
2023Q3,AB11,SO14,0.007103183973990734,0.00210110833639384
2019Q3,AB12,SO14,0.003394903591011884,0.0012424604823734972
2021Q3,AB12,SO14,0.004809326630726671,0.0017601083875619981
2021Q4,AB12,SO14,0.0015834086709883306,0.0005794929512458289
2022Q2,AB12,SO14,0.0032129446534004103,0.0011758674898668866
2022Q3,AB12,SO14,0.0021078296310331,0.0007714195557918474
2023Q1,AB12,SO14,0.0023030390823828863,0.0008428619465949486
2023Q2,AB12,SO14,0.005167534033501725,0.0018912044645227578
2023Q3,AB12,SO14,0.009021825728428502,0.0033017909480875345
2019Q2,AB15,SO14,0.007629170227444919,0.005807408089664738
2019Q3,AB15,SO14,0.006301998745780846,0.0047971505951784
2020Q1,AB15,SO14,0.0029665308001076106,0.002258155795870125
2020Q3,AB15,SO14,0.0010560329335321792,0.000803863856528615
2021Q2,AB15,SO14,0.0012069023970031304,0.0009187073475668289
2021Q3,AB15,SO14,0.00619476414303462,0.004715522438915725
2021Q4,AB15,SO14,0.004254705457556489,0.003238728479863724
2022Q1,AB15,SO14,0.0015928456764370351,0.0012124916067085786
2022Q2,AB15,SO14,0.003779306715329561,0.002876849740876701
2022Q3,AB15,SO14,0.003966107634058257,0.0030190446499218965
2022Q4,AB15,SO14,0.0021252336258902687,0.0016177511555612724
2023Q1,AB15,SO14,0.0013548397684278262,0.0010313188979664911
2023Q2,AB15,SO14,0.00421213681212131,0.003206324759865839
2023Q3,AB15,SO14,0.006748129878309698,0.005136750508518785
2019Q2,AB16,SO14,0.0035641732410639907,0.0008676161973134327
2023Q3,AB21,SO14,0.0023704280849908693,0.0005739739707577733
2019Q3,AB24,SO14,0.006667357865865372,0.0026645110246726537
2022Q3,AB24,SO14,0.006152222867068015,0.0024586449363204065
2023Q2,AB24,SO14,0.0013436869449213519,0.0005369846272661365
2019Q3,AB25,SO14,0.005562788467732572,0.004385540160690553
2020Q1,AB25,SO14,0.002306197509193829,0.0018181388441643465
2020Q3,AB25,SO14,0.0010904804194422529,0.0008597029532312942
2020Q4,AB25,SO14,0.0010641256413089306,0.0008389256149233206
2021Q2,AB25,SO14,0.002247053680921979,0.001771511575188054
2021Q3,AB25,SO14,0.004667137804607947,0.0036794353041305094
2021Q4,AB25,SO14,0.002315977602641741,0.0018258491845520712
2022Q1,AB25,SO14,0.0025452435827312287,0.002006595795535889
2022Q2,AB25,SO14,0.002575870717476008,0.002030741335171132
2022Q3,AB25,SO14,0.002981487224684172,0.002350517557567289
2022Q4,AB25,SO14,0.00329805340734029,0.00260008910169627
2023Q1,AB25,SO14,0.0025113735748958266,0.0019798936693510324
2023Q2,AB25,SO14,0.003712883792059908,0.0029271292763524428
2023Q3,AB25,SO14,0.007473484145310421,0.005891876897649204
2019Q3,AB31,SO14,0.008794764868392237,0.002056834750272748
2019Q4,AB31,SO14,0.004014948543105332,0.0009389774266387682
2022Q4,AB31,SO14,0.0015180230926532402,0.0003550205941158357
2019Q1,AB39,SO14,0.003001275112174573,0.0007584134289799224
2019Q2,AB39,SO14,0.005658324572738778,0.0014298420441646467
2019Q3,AB39,SO14,0.003598270148265802,0.0009092723257765869
2021Q3,AB39,SO14,0.0036906096629268532,0.0009326062506341748
2021Q4,AB39,SO14,0.004344293131496953,0.001097790148256454
2022Q1,AB39,SO14,0.0036356074302809228,0.0009187073475668289
2022Q2,AB39,SO14,0.0034543810958548426,0.0008729119837376331
2022Q3,AB39,SO14,0.0019857010413632933,0.0005017808362853413
2022Q4,AB39,SO14,0.0022852825450157986,0.0005774842046711321
2023Q3,AB39,SO14,0.006477014739246668,0.001636722650988963
2023Q2,AB41,SO14,0.005743414691808714,0.0012654088902116984
2019Q2,AB42,SO14,0.0040479558054382974,0.001396586128650224
2019Q4,AB42,SO14,0.007881486986924422,0.0027191935703171745
2021Q3,AB42,SO14,0.004677173866783414,0.0016136727913035544
2021Q4,AB42,SO14,0.002611910696369689,0.0009011358876305933
2022Q3,AB42,SO14,0.0039988486850323565,0.0013796436701666713
2023Q2,AB42,SO14,0.0037750731243801298,0.0013024388144422185
2023Q3,AB43,SO14,0.003677299630763021,0.0012135061251806474
2019Q1,AB51,SO14,0.003909891850490466,0.002585135099417973
2019Q2,AB51,SO14,0.002631973710685557,0.0017402035351400038
2021Q3,AB51,SO14,0.001208532113338867,0.0007990550389710079
2021Q4,AB51,SO14,0.0016994819812750591,0.001123660369294214
2022Q1,AB51,SO14,0.0016706350706699824,0.0011045874220193164
2022Q2,AB51,SO14,0.0011834905398774385,0.0007824980975068412
