time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q3,AB10,SR5,0.0007871095132536768,0.0012245064603528053
2021Q4,AB10,SR5,0.0018721356899599445,0.002912481946173835
2022Q3,AB10,SR5,0.0018910153675484875,0.002941853065169697
2023Q3,AB10,SR5,0.002184076518844244,0.003397768369199861
2019Q2,AB15,SR5,0.0019882516165656717,0.0029970193392891485
2021Q4,AB15,SR5,0.0014073508714380336,0.002121390343014418
2022Q2,AB15,SR5,0.0029905206441224264,0.0045078038062705715
2022Q3,AB15,SR5,0.0013686739118097034,0.0020630900780855585
2023Q2,AB15,SR5,0.001589780307479586,0.0023963779468552963
2023Q3,AB15,SR5,0.002129018690168162,0.003209206588833812
2019Q2,AB25,SR5,0.0030399104144914397,0.004745746031569472
2022Q4,AB25,SR5,0.002126732794424633,0.003320141827612985
2020Q2,AB31,SR5,0.002436888188057622,0.0011285581263416982
2022Q4,AB31,SR5,0.010150635297150584,0.004700905855373326
2021Q2,AB33,SR5,0.0166118714898232,0.0010549897010593123
2021Q4,AB33,SR5,0.02504908511621929,0.001590821770729381
2022Q2,AB33,SR5,0.048272933181437334,0.003065726060880017
2019Q3,AB51,SR5,0.0018132431489484852,0.002374038217495926
2021Q2,AB51,SR5,0.0021921197003636765,0.002870092711508124
2022Q3,AB51,SR5,0.0025499748328804872,0.003338624337514623
2019Q1,AL1,SR5,0.0007050127933996787,0.0014712077881703085
2019Q2,AL1,SR5,0.0010553627166217828,0.0022023115928881073
2019Q3,AL1,SR5,0.0006686415576903716,0.0013953089594655422
2019Q4,AL1,SR5,0.0018118998227573567,0.003781039373442721
2020Q3,AL1,SR5,0.004339209721753475,0.0090549833945055
2021Q2,AL1,SR5,0.003234382894736133,0.006749451001753684
2021Q3,AL1,SR5,0.0010917532065585695,0.002278250600962225
2021Q4,AL1,SR5,0.000982889804387885,0.0020510764466494945
2022Q3,AL1,SR5,0.001881927448101322,0.003927171739773708
2022Q4,AL1,SR5,0.0013465829072534775,0.0028100245543278032
2023Q2,AL1,SR5,0.0005624544931393769,0.0011737197374926548
2019Q3,AL10,SR5,0.0006618218439604812,0.0010770079954638713
2019Q4,AL10,SR5,0.0017288105022985596,0.002813359441983968
2021Q3,AL3,SR5,0.005389895715736628,0.005038653634141068
2021Q4,AL3,SR5,0.004802828432545927,0.004489843628170502
2021Q3,AL5,SR5,0.002126491560262003,0.0028745526215061268
2021Q2,B13,SR5,0.0012705953608044282,0.0016131213207193995
2021Q3,B13,SR5,0.00483201579861963,0.006134626291938792
2022Q2,B13,SR5,0.00103712963457512,0.001316718113014233
2023Q2,B13,SR5,0.0009763658831368293,0.0012395737238595744
2020Q3,B15,SR5,0.001906380673186871,0.003106467941402321
2020Q3,B23,SR5,0.001846752439763891,0.0016577204206994368
2022Q2,B23,SR5,0.0011758734449706099,0.0010555120328608805
2022Q3,B23,SR5,0.0027155201479266075,0.0024375618004404648
2020Q3,B28,SR5,0.004090016451336097,0.003669822879078088
2022Q3,B6,SR5,0.0018936428273655364,0.00158788867676673
2019Q3,B65,SR5,0.0048001966254074355,0.002603020443429469
2021Q1,B71,SR5,0.016125170599043247,0.010579469026435744
2021Q2,B71,SR5,0.013618752753999677,0.008935047976991614
2022Q4,B71,SR5,0.008199765546617615,0.005379736300564974
2019Q1,B77,SR5,0.0010272697631105257,0.0027023438444660924
2019Q2,B77,SR5,0.0015967227357089134,0.004200351271993775
2019Q3,B77,SR5,0.0013524336268995734,0.003557722438587724
2019Q4,B77,SR5,0.0018247299769434894,0.004800148897671247
2020Q1,B77,SR5,0.0012393006127098287,0.0032601138498020163
2021Q2,B77,SR5,0.0011846815147291984,0.0031164324250014643
2021Q3,B77,SR5,0.0009516950156809511,0.0025035363249154394
2021Q4,B77,SR5,0.00030811830636556244,0.0008105384179254867
2022Q1,B77,SR5,0.00048320184108367287,0.0012711145288004115
2022Q3,B77,SR5,0.0016184878963975034,0.004257606873319498
2022Q4,B77,SR5,0.0020643300300816733,0.005430442664686421
2023Q1,B77,SR5,0.0013442010503303453,0.0035360657585073283
2023Q2,B77,SR5,0.0014828260316704456,0.003900733714740497
2023Q3,B77,SR5,0.0011808783392825606,0.003106427762032969
2020Q3,B78,SR5,0.002490216531813885,0.0014063984654065244
2021Q3,B78,SR5,0.0030473369403684236,0.0017210431067972193
2023Q3,B78,SR5,0.003539290410570778,0.001998883445862045
2023Q3,B9,SR5,0.0054558117990836106,0.0035122795718513077
2019Q3,B90,SR5,0.001943665806279039,0.005138780622564718
2019Q4,B90,SR5,0.0006581771314516397,0.001740128307239127
2019Q1,B98,SR5,0.0007260959855420316,0.0022052446868507584
2019Q2,B98,SR5,0.0007970056053380651,0.002420606106574181
2019Q3,B98,SR5,0.0006431079174486514,0.001953199502909521
2019Q4,B98,SR5,0.0004328529571094057,0.0013146287858079614
2021Q2,B98,SR5,0.0002940500222400061,0.0008930668425732314
2021Q3,B98,SR5,0.0003466236843798264,0.0010527396563756349
2022Q2,B98,SR5,0.0006870692358408565,0.002086715547264173
2022Q3,B98,SR5,0.00040156541031507385,0.0012196045772919365
2022Q4,B98,SR5,0.00041998074441135697,0.0012755342594290638
2023Q2,B98,SR5,0.00034905789520864544,0.00106013266033629
2023Q3,B98,SR5,0.0007403440565346299,0.0022485178676422
2022Q3,BA14,SR5,0.0013032650990918845,0.002927750106527361
2021Q4,BA21,SR5,0.0048168923967332545,0.0026519990946688066
2019Q2,BB1,SR5,0.0014746421171281153,0.0023129253967124697
2019Q3,BB1,SR5,0.002008782007412808,0.0031507054270581954
2021Q4,BB1,SR5,0.001176101697897488,0.0018446750262914305
2023Q2,BB1,SR5,0.0023857616546925325,0.003741985026433175
2022Q4,BB11,SR5,0.0007609184737903821,0.0007886004822596308
