time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,SW1Y,0.011421817533183684,0.022149375797515462
2019Q2,AB10,SW1Y,0.009910048657714771,0.019217728811870186
2019Q3,AB10,SW1Y,0.019031954714482918,0.036907078572010574
2019Q4,AB10,SW1Y,0.017385548685431136,0.033714341011038665
2020Q1,AB10,SW1Y,0.016535033415023048,0.03206500785621779
2021Q3,AB10,SW1Y,0.010160572423253576,0.019703548604824008
2022Q2,AB10,SW1Y,0.006358396478144203,0.012330306683227054
2022Q3,AB10,SW1Y,0.007191943283195691,0.01394673431186538
2022Q4,AB10,SW1Y,0.0040787851748950036,0.007909647074435663
2023Q1,AB10,SW1Y,0.003581172660396429,0.006944668728988099
2023Q2,AB10,SW1Y,0.007128072636579456,0.013822875306919523
2019Q1,AB11,SW1Y,0.0034565188547724147,0.0025237586976230198
2019Q3,AB11,SW1Y,0.0037619738748220577,0.0027467850417491413
2020Q1,AB11,SW1Y,0.00438667157695368,0.003202904717463626
2022Q1,AB11,SW1Y,0.004830689170661595,0.003527101781359515
2022Q3,AB11,SW1Y,0.0016608302145614152,0.0012126462708245394
2023Q2,AB11,SW1Y,0.002179616721778001,0.0015914354557843115
2019Q1,AB12,SW1Y,0.002950706452637987,0.002665598043359642
2019Q2,AB12,SW1Y,0.00418560997986467,0.0037811805246228906
2019Q3,AB12,SW1Y,0.010429706673494243,0.009421948996934713
2019Q4,AB12,SW1Y,0.0032903409595873745,0.0029724157806416147
2020Q1,AB12,SW1Y,0.0014237926498477348,0.0012862204229739387
2021Q3,AB12,SW1Y,0.010112248758575507,0.009135165065547741
2021Q4,AB12,SW1Y,0.003224975454577037,0.0029133661377660942
2022Q1,AB12,SW1Y,0.0032266941404594123,0.002914918757722956
2022Q2,AB12,SW1Y,0.0012452710840010113,0.0011249482855191632
2022Q3,AB12,SW1Y,0.0042611767172091065,0.003849445718210115
2019Q1,AB15,SW1Y,0.015316422532787928,0.028779012928804637
2019Q2,AB15,SW1Y,0.01566472841250081,0.02943346728287965
2019Q3,AB15,SW1Y,0.02029223604604753,0.0381283894638847
2019Q4,AB15,SW1Y,0.01694090814794228,0.03183136359496732
2020Q1,AB15,SW1Y,0.003999320240327658,0.007514580422186202
2020Q3,AB15,SW1Y,0.0033377069977812844,0.006271432681886519
2021Q2,AB15,SW1Y,0.00472234748355196,0.0088731228844411
2021Q3,AB15,SW1Y,0.015429947805742484,0.028992322877071687
2021Q4,AB15,SW1Y,0.01273066386795992,0.023920464407663218
2022Q2,AB15,SW1Y,0.0050566059768250545,0.009501182699249449
2022Q3,AB15,SW1Y,0.0070085263073994,0.013168771544447672
2022Q4,AB15,SW1Y,0.008330206780322305,0.015652162123192263
2023Q1,AB15,SW1Y,0.0039459561650858135,0.007414311223681709
2023Q2,AB15,SW1Y,0.011656505274505432,0.021902158632771125
2023Q3,AB15,SW1Y,0.008312374329604627,0.01561865558283287
2019Q1,AB16,SW1Y,0.003774389445787176,0.00226792699634383
2019Q2,AB16,SW1Y,0.003370377572554314,0.0020251673534111294
2019Q4,AB16,SW1Y,0.0028561730654419718,0.0017161959819954435
2023Q3,AB16,SW1Y,0.001847768765386028,0.0011102735227010738
2019Q2,AB21,SW1Y,0.003278946937418435,0.0019598070616786817
2019Q1,AB22,SW1Y,0.00289355299217139,0.003586401846808724
2019Q2,AB22,SW1Y,0.005279531038671758,0.006543692103999611
2019Q4,AB22,SW1Y,0.003256504840114795,0.004036260958181019
2019Q1,AB24,SW1Y,0.011582769322455996,0.011425880516097138
2019Q2,AB24,SW1Y,0.00830044649550434,0.00818801680734673
2019Q3,AB24,SW1Y,0.016856429601391797,0.01662810897736734
2019Q4,AB24,SW1Y,0.006555912831136396,0.006467112880965961
2020Q1,AB24,SW1Y,0.0054459304396808645,0.005372165219774565
2020Q3,AB24,SW1Y,0.0018155640076872336,0.0017909721624985427
2021Q2,AB24,SW1Y,0.001746513781158118,0.001722857222455532
2021Q3,AB24,SW1Y,0.0011727876342617913,0.0011569022059216936
2021Q4,AB24,SW1Y,0.0017802773110418399,0.0017561634247559748
2022Q1,AB24,SW1Y,0.0023090192662434637,0.002277743561232381
2022Q2,AB24,SW1Y,0.0007040584494700318,0.000694521965865021
2022Q3,AB24,SW1Y,0.0008853152941089598,0.0008733236834779242
2023Q2,AB24,SW1Y,0.001235389788166497,0.0012186564125930407
2019Q2,AB25,SW1Y,0.0083150611865033,0.016181154767849818
2019Q3,AB25,SW1Y,0.006283323983963523,0.012227383005441477
2019Q4,AB25,SW1Y,0.005453946322492515,0.010613409518025285
2020Q1,AB25,SW1Y,0.0045698001377131965,0.00889285618324768
2021Q2,AB25,SW1Y,0.002904018589741496,0.00565123613589196
2021Q3,AB25,SW1Y,0.008847226955509848,0.01721675227907727
2021Q4,AB25,SW1Y,0.007522487560902067,0.014638802136508266
2022Q1,AB25,SW1Y,0.011516214457445191,0.02241061662638631
2022Q2,AB25,SW1Y,0.007279452238721441,0.01416585406384198
2022Q3,AB25,SW1Y,0.005642187384276811,0.010979727658815415
2023Q1,AB25,SW1Y,0.00399895152541135,0.007781981646369755
2023Q2,AB25,SW1Y,0.0071586680846397206,0.013930807436178857
2019Q1,AB31,SW1Y,0.005224977009312954,0.003016289815551672
2019Q2,AB31,SW1Y,0.016030469613621718,0.009254115788049322
2019Q3,AB31,SW1Y,0.009043589822940415,0.005220709647208342
