time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB51,TF9,0.0019605158340482345,0.0038186300894413132
2022Q1,AB51,TF9,0.0012309958777675016,0.0023976944318346936
2023Q2,AB51,TF9,0.0017322876700376414,0.003374094565058828
2019Q2,AL1,TF9,0.0006836406008971212,0.00212231791431014
2020Q3,AL1,TF9,0.0010576347154643967,0.003283358391062241
2021Q2,AL1,TF9,0.0010339520156642658,0.0032098369852547317
2021Q3,AL1,TF9,0.0007579619189690781,0.0023530436268442787
2021Q4,AL1,TF9,0.0015940189845961494,0.004948528572351372
2022Q1,AL1,TF9,0.000535113490118087,0.0016612251302458006
2022Q2,AL1,TF9,0.0016392471649461565,0.005088936525393521
2022Q4,AL1,TF9,0.0005568322587152805,0.0017286496389863468
2023Q1,AL1,TF9,0.00031538424611882073,0.000979089940753678
2019Q3,AL10,TF9,0.0011321708880734141,0.002740913872604389
2020Q3,AL10,TF9,0.0009858565345084145,0.002386696107713895
2020Q4,AL10,TF9,0.0020254143378328725,0.004903399579355705
2021Q3,AL10,TF9,0.001032965509635316,0.002500743946966521
2023Q1,AL10,TF9,0.0008694667500491826,0.0021049238256190947
2022Q1,AL2,TF9,0.030614607690093373,0.009194180550482812
2022Q2,AL2,TF9,0.015571718742725674,0.004676499370863583
2023Q2,AL2,TF9,0.06836294421918586,0.02053076291149635
2020Q3,AL3,TF9,0.0014875465752419755,0.0020687608577219037
2021Q4,AL3,TF9,0.004986268154682096,0.006934503131664007
2022Q2,AL3,TF9,0.0015665013010067693,0.0021785647784279176
2023Q2,AL3,TF9,0.0050835324684576685,0.007069770563649694
2023Q3,AL3,TF9,0.003339522720304139,0.004644341227510379
2023Q3,AL4,TF9,0.002811129834143595,0.0017097014392782322
2019Q2,AL5,TF9,0.0014455018318865818,0.002906904883927525
2019Q3,AL5,TF9,0.003232910383056585,0.006501384345906915
2019Q4,AL5,TF9,0.0018085120694427352,0.003636918647445515
2020Q3,AL5,TF9,0.002800228811935246,0.005631261496850061
2021Q3,AL5,TF9,0.002293922712980729,0.004613079686667023
2021Q4,AL5,TF9,0.0016113873748163196,0.003240500791091522
2022Q1,AL5,TF9,0.0010412654255356707,0.0020939852749989525
2022Q2,AL5,TF9,0.001362009180016015,0.002739001120583381
2022Q4,AL5,TF9,0.0015404676641138733,0.003097881218525083
2019Q4,B1,TF9,0.0073321966942394455,0.006588534109864111
2020Q1,B1,TF9,0.002166831255324615,0.0019470620103852442
