time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,W1J,0.014797793150569206,0.01257426730828288
2019Q2,AB10,W1J,0.01868579285576986,0.01587805369658211
2019Q3,AB10,W1J,0.01634969748290898,0.013892981505269205
2019Q4,AB10,W1J,0.042172240911879016,0.035835413079474784
2020Q1,AB10,W1J,0.012998206043846222,0.01104508730865545
2020Q3,AB10,W1J,0.0045387158157934645,0.003856725480847998
2021Q2,AB10,W1J,0.004320708485390057,0.0036714760710363616
2021Q3,AB10,W1J,0.01943250864022945,0.01651256749073849
2021Q4,AB10,W1J,0.035146805537593515,0.029865624107939238
2022Q1,AB10,W1J,0.01615356578440365,0.013726320680946308
2022Q2,AB10,W1J,0.014378617819157368,0.012218077529673374
2022Q3,AB10,W1J,0.01602422320524712,0.013616413200276166
2022Q4,AB10,W1J,0.01694746784923843,0.014400930514875919
2023Q1,AB10,W1J,0.018027870958518776,0.015318991563476837
2023Q2,AB10,W1J,0.01633414951313018,0.013879769783351587
2023Q3,AB10,W1J,0.01697582610640973,0.014425027642227322
2019Q1,AB11,W1J,0.006326959180170439,0.002024246483045375
2019Q2,AB11,W1J,0.01754750945181665,0.005614147852474126
2019Q3,AB11,W1J,0.00956568785109879,0.0030604449055375398
2020Q1,AB11,W1J,0.005101503547296671,0.0016321743699918426
2020Q3,AB11,W1J,0.0021954622438151604,0.0007024158998259928
2021Q2,AB11,W1J,0.003203059097511369,0.0010247863038922306
2021Q3,AB11,W1J,0.010555175536752531,0.003377021464776119
2021Q4,AB11,W1J,0.007513521258952998,0.002403874997548593
2022Q1,AB11,W1J,0.005144032654063071,0.0016457811267840724
2022Q2,AB11,W1J,0.008437363210452799,0.0026994488692869073
2022Q3,AB11,W1J,0.002499956929195885,0.0007998358891819755
2022Q4,AB11,W1J,0.011533962350381179,0.003690174388434717
2023Q2,AB11,W1J,0.002425668183021673,0.0007760679575594188
2023Q3,AB11,W1J,0.01710115961676994,0.005471342745301479
2019Q1,AB12,W1J,0.0036896859405792853,0.00146055366335436
2019Q2,AB12,W1J,0.005920429332942254,0.002343588286406245
2019Q3,AB12,W1J,0.00967182164084682,0.0038285682728408507
2019Q4,AB12,W1J,0.010255675867533728,0.0040596856208714545
2020Q1,AB12,W1J,0.007439636770001856,0.002944963043858969
2021Q2,AB12,W1J,0.005236835883597504,0.0020729893972962505
2021Q3,AB12,W1J,0.01698022842750731,0.006721584230688193
2021Q4,AB12,W1J,0.01151325496011175,0.004557495402029769
2022Q1,AB12,W1J,0.00718665729641223,0.0028448217031445395
