time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB10,WA3,0.0013744715210767214,0.0021629398119326227
2019Q4,AB10,WA3,0.0014066522027119128,0.0022135810048686234
2020Q1,AB10,WA3,0.0014661063994408131,0.0023071412184630627
2021Q3,AB10,WA3,0.0017973401409908329,0.002828387847198376
2023Q1,AB10,WA3,0.0014552331514725825,0.0022900305104164693
2022Q4,AB11,WA3,0.006531647655317113,0.0038700276014172717
2019Q4,AB15,WA3,0.0016047606322977265,0.0024468718936749155
2020Q1,AB15,WA3,0.0006081425457755736,0.0009272703184870307
2021Q2,AB15,WA3,0.0004538345379958324,0.0006919879220933677
2021Q3,AB15,WA3,0.0034594154730831148,0.005274772024729446
2021Q4,AB15,WA3,0.003947182312668792,0.006018498501082467
2022Q1,AB15,WA3,0.0019782291928439268,0.003016321134626999
2022Q4,AB15,WA3,0.002798895101208528,0.0042676381876876465
2023Q3,AB15,WA3,0.00299267973008376,0.004563112884834293
2021Q4,AB25,WA3,0.004342387227961208,0.006857329625485439
2022Q4,AB25,WA3,0.003085207689408087,0.0048720404189486885
2021Q4,AB31,WA3,0.004569772665955962,0.0021407487273876345
2021Q3,AB39,WA3,0.0025479282428038834,0.0012896840563765266
2022Q4,AB42,WA3,0.0016094785199394143,0.0011122773090525779
2019Q1,AB51,WA3,0.0013214033231319232,0.0017500474531550758
2019Q3,AB51,WA3,0.003229196824818964,0.004276701579360784
2019Q4,AB51,WA3,0.002567405732054619,0.003400235025857702
2021Q2,AB51,WA3,0.0009084935548432957,0.0012031957268678526
2021Q4,AB51,WA3,0.0026150951991613103,0.003463394266485747
2022Q2,AB51,WA3,0.001507680713954069,0.0019967505359171304
2022Q4,AB51,WA3,0.002522815773427835,0.00334118072944036
2023Q1,AB51,WA3,0.0013787595741115925,0.001826009242559076
2023Q2,AB51,WA3,0.0018713052285918954,0.0024783295849529767
2023Q3,AB51,WA3,0.003097789940552007,0.004102668202031768
2019Q1,AL1,WA3,0.0012960020516640915,0.002735681136855667
2019Q2,AL1,WA3,0.0012309997796923495,0.002598470328387018
2019Q3,AL1,WA3,0.0014214818521498275,0.0030005516459759808
2020Q3,AL1,WA3,0.0009673323885842217,0.002041904922234864
2021Q2,AL1,WA3,0.0013332012191550294,0.002814203436014858
2021Q3,AL1,WA3,0.002394128407518469,0.005053674039519301
2022Q2,AL1,WA3,0.002901843131932827,0.006125389622608696
2022Q4,AL1,WA3,0.0012640977967300938,0.0026683356659929444
2019Q2,AL10,WA3,0.001745007298778249,0.0028724855152044435
2020Q3,AL10,WA3,0.0010647665368698283,0.0017527298919462284
2021Q2,AL10,WA3,0.0006831048295786095,0.0011244702126487255
2021Q3,AL10,WA3,0.0012802135583359412,0.002107380814546177
2021Q4,AL10,WA3,0.0022305408395908908,0.0036717303459319244
2022Q4,AL2,WA3,0.019845348161591503,0.004052474082227629
2023Q3,AL2,WA3,0.018217260948182296,0.003720014244172669
2019Q2,AL3,WA3,0.001991533028327425,0.001883234603436996
2021Q2,AL3,WA3,0.0018604432550108105,0.001759273416876161
2021Q4,AL3,WA3,0.0019002429697948056,0.00179690884597627
2022Q3,AL3,WA3,0.00372415300929115,0.0035216357026633463
2022Q4,AL3,WA3,0.003671717099964504,0.003472051228039012
2019Q1,AL5,WA3,0.001254797362537505,0.0017157853940499008
2019Q2,AL5,WA3,0.0014087935993980984,0.001926356839155371
2021Q2,AL5,WA3,0.0014559346979622562,0.001990816656167005
2021Q3,AL5,WA3,0.0012427297168773233,0.0016992843311831145
2022Q1,AL5,WA3,0.003477473408898886,0.0047550291874376574
2022Q3,AL5,WA3,0.0038150108082018975,0.005216571231563835
2023Q1,AL5,WA3,0.003122726239060789,0.004269954839370915
2022Q3,AL7,WA3,0.002068694258189784,0.002008171222285522
2022Q4,AL7,WA3,0.0022494799656753834,0.0021836677480460737
2023Q3,AL7,WA3,0.0037314789670342937,0.0036223084433555375
2019Q4,AL8,WA3,0.0014532150991085821,0.0013906006551406426
2021Q2,AL8,WA3,0.0016020406349050596,0.0015330137691436472
2021Q4,AL8,WA3,0.0033306509321027853,0.003187143714009028
2022Q1,AL8,WA3,0.003239843570363953,0.003100248954380482
2022Q2,AL8,WA3,0.0023699107438275805,0.002267798782859493
2022Q4,AL8,WA3,0.003005010126465915,0.0028755337411034802
2023Q3,AL8,WA3,0.0023483344389803747,0.0022471521327700164
2022Q3,AL9,WA3,0.010701399831393444,0.0019197320282014641
2022Q4,AL9,WA3,0.009680061167720631,0.0017365133301633518
2019Q1,B1,WA3,0.003975118258601596,0.002428745110328643
2021Q4,B1,WA3,0.003799504747394589,0.002321447558682543
2022Q1,B1,WA3,0.0016322078501841985,0.0009972575851289183
2022Q4,B1,WA3,0.0016976637952704455,0.0010372503089242826
2019Q3,B10,WA3,0.0012056577437947276,0.0009628735969877818
2019Q4,B11,WA3,0.001726326739592073,0.0010473297758970981
2020Q4,B11,WA3,0.0016527691021178948,0.0010027037487351977
2019Q3,B12,WA3,0.005522106445181694,0.0018691314782774515
2022Q4,B12,WA3,0.005419082519243624,0.001834259773992469
2023Q1,B12,WA3,0.009498613852280829,0.0032151061062561928
2019Q1,B13,WA3,0.0014057947077546257,0.0018053625924695988
2019Q2,B13,WA3,0.0023125987546094946,0.002969906814937664
2019Q3,B13,WA3,0.004695961961414832,0.006030691404678614
2020Q1,B13,WA3,0.0008648390810177994,0.0011106515885730918
2020Q3,B13,WA3,0.001905576563334568,0.0024471970377708124
2020Q4,B13,WA3,0.000747046017031696,0.0009593782979568864
2023Q1,B13,WA3,0.0044432227327761906,0.005706116310949163
2023Q3,B13,WA3,0.013589939600322586,0.017452597063429883
2019Q2,B14,WA3,0.0028971780227220628,0.003411289925118209
2019Q3,B14,WA3,0.0011072947921663837,0.0013037871815360712
2021Q2,B14,WA3,0.005214699527321676,0.006140061749936059
2023Q2,B14,WA3,0.00476955866757612,0.005615929467349658
2023Q3,B14,WA3,0.0058077144133660795,0.006838308695875449
2019Q1,B15,WA3,0.003195563976774821,0.0052672937105238075
2019Q2,B15,WA3,0.002667921992353611,0.0043975738970105935
2019Q3,B15,WA3,0.002728998173269137,0.004498246637702786
2019Q4,B15,WA3,0.003349573595667988,0.005521149963395603
2020Q3,B15,WA3,0.0012338029635248612,0.002033695033813458
2020Q4,B15,WA3,0.0018858904405099227,0.003108540128825863
2021Q1,B15,WA3,0.0014534750247991526,0.0023957836276070565
2021Q2,B15,WA3,0.0023235085506789787,0.0038298723055739596
2021Q4,B15,WA3,0.005289019734582644,0.008717966714257577
2022Q2,B15,WA3,0.004490689694412285,0.00740206791514933
2022Q3,B15,WA3,0.002362713689013935,0.0038944946946335413
2022Q4,B15,WA3,0.0075045045676229785,0.01236978198431579
2023Q1,B15,WA3,0.0045418536328053856,0.007486402165022684
2019Q2,B16,WA3,0.003483830087714084,0.0025930648077927263
2019Q3,B16,WA3,0.003381446403846058,0.002516859160316803
2019Q4,B16,WA3,0.003422072249604891,0.0025470975612352496
2020Q1,B16,WA3,0.0024348205139601412,0.001812271904507416
