time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,WD17,0.0006540478184025499,0.0003498543909786607
2019Q2,AB10,WD17,0.0026132211464929872,0.00139782882378818
2019Q3,AB10,WD17,0.003051017883570132,0.0016320091184288089
2019Q4,AB10,WD17,0.0021280573386943807,0.0011383115779133519
2020Q1,AB10,WD17,0.0008621375069537008,0.0004611629057518036
2021Q3,AB10,WD17,0.0023878014118927085,0.0012772503557554149
2021Q4,AB10,WD17,0.004929610371610974,0.0026368803408508127
2022Q1,AB10,WD17,0.004143714736396504,0.002216499703388735
2022Q2,AB10,WD17,0.0026743541107229203,0.0014305292401302465
2022Q4,AB10,WD17,0.0011544754968643967,0.0006175363795903544
2023Q1,AB10,WD17,0.0015017220976550414,0.0008032808230711669
2023Q2,AB10,WD17,0.0010680577113496702,0.0005713109494760517
2023Q3,AB10,WD17,0.0038981756189761523,0.002085159247890625
2019Q3,AB11,WD17,0.0023048718007383988,0.00046420223468938466
2021Q3,AB12,WD17,0.002826184888385893,0.0007042401451006242
2022Q2,AB12,WD17,0.002006039073612421,0.00049987290431136
2023Q2,AB12,WD17,0.002925314254762894,0.0007289416002842384
2019Q2,AB15,WD17,0.002327734564757551,0.0012064339915097734
2019Q3,AB15,WD17,0.003339146388422173,0.0017306353424533171
2019Q4,AB15,WD17,0.0023782465140998565,0.001232613665767575
2021Q3,AB15,WD17,0.00287966090939174,0.0014924901050622989
2021Q4,AB15,WD17,0.004533627377302078,0.0023497190167755307
2022Q1,AB15,WD17,0.0014247301806576554,0.0007384187805168778
2022Q4,AB15,WD17,0.0006462863977591303,0.00033496167918451304
2023Q2,AB15,WD17,0.00086928532556796,0.000450539069601804
2023Q3,AB15,WD17,0.0014427758744332444,0.0007477716245657071
2019Q1,AB25,WD17,0.0009977239542152084,0.0005355573890648697
2019Q3,AB25,WD17,0.003175441920009091,0.0017045109287216536
2019Q4,AB25,WD17,0.0013961598138655632,0.0007494294403498423
2020Q4,AB25,WD17,0.0005994682541809997,0.0003217820437006383
2021Q2,AB25,WD17,0.003239192687036669,0.0017387310095325107
2021Q3,AB25,WD17,0.003289405745765293,0.0017656843311562422
2022Q1,AB25,WD17,0.0018356720659971505,0.0009853504415638131
2022Q2,AB25,WD17,0.005259837204639471,0.0028233708014344864
2022Q3,AB25,WD17,0.0016077444144847453,0.0008630036366946367
2022Q4,AB25,WD17,0.002858283784328494,0.0015342670628225052
2023Q2,AB25,WD17,0.0017323376575935476,0.0009298826884529568
2023Q3,AB25,WD17,0.0011973665459927296,0.0006427213643776747
2021Q2,AB39,WD17,0.005326464386569974,0.0009164405654699273
2021Q3,AB39,WD17,0.009905380180536136,0.0017042622563540333
2021Q4,AB39,WD17,0.020163497307077487,0.003469214385538949
2022Q1,AB39,WD17,0.015300818169796409,0.002632570019812061
2022Q2,AB39,WD17,0.00608396958771115,0.0010467725163660212
2022Q4,AB39,WD17,0.004108144859655083,0.0007068235746975683
2019Q4,AB51,WD17,0.0017357247487480335,0.000781383839589048
2021Q4,AB51,WD17,0.0014985049413254329,0.0006745928728276733
2022Q2,AB51,WD17,0.001690306208646423,0.0007609374449180472
2022Q4,AB51,WD17,0.003005663955832389,0.0013530816127480644
2023Q3,AB51,WD17,0.0005224973403851488,0.0002352164295057131
2019Q1,AL1,WD17,1.6865068780917822,1.210088245767085
2019Q2,AL1,WD17,1.714158259260046,1.2299284324663535
2019Q3,AL1,WD17,1.5954898342875574,1.1447824611879094
2019Q4,AL1,WD17,2.4097692133813475,1.7290373600038578
2020Q1,AL1,WD17,1.4869924742354912,1.066934346957675
2020Q2,AL1,WD17,0.4548632370325089,0.32636964824441794
2020Q3,AL1,WD17,1.3358632316294743,0.9584973625344958
2020Q4,AL1,WD17,1.240159034958709,0.8898284914102288
2021Q1,AL1,WD17,0.1914754173073876,0.13738583272140542
2021Q2,AL1,WD17,1.3635450922398384,0.9783594185869832
2021Q3,AL1,WD17,1.1227327387093962,0.8055737618973356
2021Q4,AL1,WD17,1.6076053643869352,1.1534754945546528
2022Q1,AL1,WD17,1.0654788684854324,0.7644934459598859
2022Q2,AL1,WD17,1.2660474027877866,0.9084036955905446
2022Q3,AL1,WD17,1.2342358184506488,0.8855785148660198
2022Q4,AL1,WD17,1.2539760033777925,0.8997423265052779
2023Q1,AL1,WD17,0.6814395731369977,0.4889407973163005
2023Q2,AL1,WD17,1.0516012492497877,0.7545360932005033
2023Q3,AL1,WD17,0.8491045388449256,0.6092423548525892
2019Q1,AL10,WD17,0.7725952657891878,0.4322965614191012
2019Q2,AL10,WD17,0.8619039818441403,0.4822681993062086
2019Q3,AL10,WD17,0.8525361102997229,0.47702651735992996
2019Q4,AL10,WD17,1.2185217876224557,0.6818094830873292
2020Q1,AL10,WD17,0.6166586571521333,0.3450440726994141
2020Q2,AL10,WD17,0.19171150507371532,0.10726990974141112
2020Q3,AL10,WD17,0.6185951372507591,0.3461276072807933
2020Q4,AL10,WD17,0.4575396002189667,0.2560108826005928
2021Q1,AL10,WD17,0.053130109527987635,0.02972832564966347
2021Q2,AL10,WD17,0.5374752350891706,0.30073792354866785
2021Q3,AL10,WD17,0.435607606990678,0.2437390946703736
2021Q4,AL10,WD17,0.6373991488491464,0.3566491700120433
2022Q1,AL10,WD17,0.4498663185062368,0.2517173883920503
2022Q2,AL10,WD17,0.5053377045936498,0.28275574770460044
2022Q3,AL10,WD17,0.4174302830268143,0.2335681876077313
2022Q4,AL10,WD17,0.6185113879616446,0.34608074635462843
2023Q1,AL10,WD17,0.5264983994603089,0.2945959647408146
2023Q2,AL10,WD17,0.6222373671688908,0.3481655740393622
2023Q3,AL10,WD17,0.5720610249476938,0.3200899940205608
2019Q1,AL2,WD17,3.831837006710572,0.26597308447114404
2019Q2,AL2,WD17,5.546555775715149,0.3849940760201091
2019Q3,AL2,WD17,5.2957578969594605,0.3675858498156408
2019Q4,AL2,WD17,6.157501274494286,0.42740064458486704
2020Q1,AL2,WD17,3.7958905129128966,0.2634779888252314
2020Q2,AL2,WD17,1.7842904386084852,0.1238500569617039
2020Q3,AL2,WD17,4.871396367686351,0.3381303315683883
2020Q4,AL2,WD17,3.0740153515579225,0.2133716395905314
2021Q1,AL2,WD17,0.6211797584996149,0.04311694262825992
2021Q2,AL2,WD17,3.7823140966535975,0.2625356310730028
2021Q3,AL2,WD17,4.723641084024132,0.3278744338165459
2021Q4,AL2,WD17,4.916738596579798,0.34127759812864816
2022Q1,AL2,WD17,3.943830100824458,0.27374667938887465
2022Q2,AL2,WD17,4.242379100838371,0.2944693766905644
2022Q3,AL2,WD17,4.004662644099959,0.2779691500061985
2022Q4,AL2,WD17,5.167612505814155,0.3586911017133626
