time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2020Q3,BB1,WF15,0.0006063285724017262,0.013700507632489187
2023Q1,BB1,WF15,0.0007533701037543773,0.017023035572431216
2023Q3,BB1,WF15,0.0005414151158777507,0.012233733102905023
2022Q3,BB11,WF15,0.001029122172862164,0.015365244628181398
2022Q4,BB11,WF15,0.001322913388757793,0.01975167611404912
2021Q3,BB2,WF15,0.0005371666966604032,0.01211391371552384
2021Q4,BB2,WF15,0.0003697127818566728,0.008337577081345823
2023Q3,BB2,WF15,0.0016907865925607198,0.0381297705553661
2019Q1,BB5,WF15,0.0006369391465342322,0.017978696483379703
2020Q1,BB5,WF15,0.0004804112487397765,0.013560428928401041
2020Q3,BB5,WF15,0.00039502120990627537,0.011150149077892569
2022Q1,BB5,WF15,0.0005602644694932954,0.015814422621455788
2022Q2,BB5,WF15,0.00021119884965087112,0.00596144865042909
2022Q3,BB5,WF15,0.0010867338419650711,0.0306749208448237
2022Q4,BB5,WF15,0.00046970673378514454,0.01325827569065718
2021Q1,BB9,WF15,0.0007263104115929282,0.010418498325961085
2021Q2,BB9,WF15,0.0012757947648714945,0.01830053020021033
2022Q1,BB9,WF15,0.0016656030084398973,0.023892101611332282
2019Q1,BD1,WF15,0.018424539356483544,0.07066218132340826
2019Q2,BD1,WF15,0.020343875401213067,0.07802325933947844
2019Q3,BD1,WF15,0.005550936572234578,0.02128906883329756
2019Q4,BD1,WF15,0.006777971410926959,0.0259950186855151
2020Q4,BD1,WF15,0.0038483314043023797,0.014759201639833084
2021Q3,BD1,WF15,0.007425447359019248,0.028478232076168637
2023Q2,BD1,WF15,0.0035836058068772344,0.01374392045400411
2019Q2,BD10,WF15,0.015230944354404119,0.22222676030916455
2019Q3,BD10,WF15,0.01873142850629774,0.2733004977274198
2019Q4,BD10,WF15,0.010058789088912246,0.14676254208858575
2020Q1,BD10,WF15,0.008001225649757594,0.11674170775458688
2020Q4,BD10,WF15,0.008220256340556084,0.11993747025570535
2021Q1,BD10,WF15,0.004926583815384527,0.07188121335154728
2021Q2,BD10,WF15,0.02578773964900255,0.3762554510441079
2021Q3,BD10,WF15,0.01270873910205767,0.1854265797673955
2021Q4,BD10,WF15,0.014486930303465003,0.2113712395799533
2022Q1,BD10,WF15,0.016094292641518182,0.2348234245999344
2022Q2,BD10,WF15,0.014160229028564519,0.20660451177761485
2022Q3,BD10,WF15,0.009867092603141862,0.1439655987077844
2022Q4,BD10,WF15,0.01260408361168882,0.18389960612531064
2023Q2,BD10,WF15,0.009588236105112051,0.1398969490754059
2023Q3,BD10,WF15,0.007605018529850962,0.11096085644165987
2019Q1,BD11,WF15,0.12631209665890528,0.09266785113051212
2019Q2,BD11,WF15,0.2473055982288455,0.18143375786326307
2019Q3,BD11,WF15,0.18329546605666852,0.13447324057414162
2019Q4,BD11,WF15,0.08179401190890327,0.060007517248406
2020Q1,BD11,WF15,0.21955990546834345,0.16107835411134644
2020Q2,BD11,WF15,0.5427302407071792,0.3981696645072203
2020Q3,BD11,WF15,0.2839108821856076,0.2082889292523938
2020Q4,BD11,WF15,0.30638531937729563,0.2247771188637612
2021Q1,BD11,WF15,0.3693934317062764,0.27100251237523
2021Q2,BD11,WF15,0.4130759739256133,0.3030498572175454
2021Q3,BD11,WF15,0.2001041516782842,0.14680479723486026
2021Q4,BD11,WF15,0.3757842669266616,0.27569109709884154
2022Q1,BD11,WF15,0.28428565338680295,0.20856387712198832
2022Q2,BD11,WF15,0.28426829556274763,0.208551142694344
2022Q3,BD11,WF15,0.2467035973309253,0.18099210475905125
2022Q4,BD11,WF15,0.17988702060579642,0.13197266205488212
2023Q1,BD11,WF15,0.17749795282217584,0.13021994174091964
2023Q2,BD11,WF15,0.5477592757312206,0.4018591754983685
2023Q3,BD11,WF15,0.3656749123984152,0.2682744506712323
2019Q1,BD12,WF15,0.15427041880131231,0.25456468163681983
2019Q2,BD12,WF15,0.1872761488050739,0.3090280921589603
2019Q3,BD12,WF15,0.11916348546543047,0.19663403376968774
2019Q4,BD12,WF15,0.14155235068622826,0.2335783448788864
2020Q1,BD12,WF15,0.13366880416100754,0.22056954820253494
2020Q2,BD12,WF15,0.12234721191656968,0.20188756401061356
2020Q3,BD12,WF15,0.17277644267265438,0.2851018391280362
2020Q4,BD12,WF15,0.1852352805268976,0.3056604148846427
2021Q1,BD12,WF15,0.07132936359933344,0.11770199936649695
2021Q2,BD12,WF15,0.309565481164081,0.5108201479622411
2021Q3,BD12,WF15,0.43023699219291467,0.7099426046611641
2021Q4,BD12,WF15,0.2466696952794114,0.40703456266056737
2022Q1,BD12,WF15,0.285765056309151,0.4715465942693617
2022Q2,BD12,WF15,0.3277263324012317,0.5407877292351815
2022Q3,BD12,WF15,0.3289670596442549,0.5428350778978253
2022Q4,BD12,WF15,0.3665266830800008,0.6048129584053885
2023Q1,BD12,WF15,0.3507883544157421,0.578842829737542
2023Q2,BD12,WF15,0.382254488188339,0.6307657219446291
2023Q3,BD12,WF15,0.4698034577426939,0.7752320151938855
2019Q1,BD13,WF15,0.012725981989228904,0.039835605022092435
2019Q2,BD13,WF15,0.01623644467570844,0.050824258403949496
2019Q3,BD13,WF15,0.008523375295401451,0.02668036242783067
2019Q4,BD13,WF15,0.028201123731928693,0.08827678894368282
2020Q1,BD13,WF15,0.017102780415602908,0.05353611265458163
2020Q2,BD13,WF15,0.019635772297155612,0.06146503037606697
2020Q3,BD13,WF15,0.06237802244153715,0.1952592944217152
2020Q4,BD13,WF15,0.02528165550109542,0.07913810059598163
2021Q1,BD13,WF15,0.020860661932387413,0.06529925077226488
2021Q2,BD13,WF15,0.046617738818172,0.14592554288977808
2021Q3,BD13,WF15,0.039090880769791087,0.12236453639719955
2021Q4,BD13,WF15,0.028289144182769625,0.08855231565089752
2022Q1,BD13,WF15,0.052433745582560636,0.16413114372027576
2022Q2,BD13,WF15,0.052693368929158685,0.1649438317390351
2022Q3,BD13,WF15,0.02492938878081816,0.07803541492950261
2022Q4,BD13,WF15,0.02231558820805224,0.06985354516799032
2023Q1,BD13,WF15,0.02468178503359965,0.0772603513560562
2023Q2,BD13,WF15,0.013327701625859984,0.04171914263821985
2023Q3,BD13,WF15,0.013549601922097629,0.042413747782458606
2019Q2,BD14,WF15,0.027693263981826817,0.0236576723751517
2021Q3,BD14,WF15,0.016327581467790873,0.013948250133934343
2023Q2,BD14,WF15,0.06070347745021856,0.051857483556004634
2021Q3,BD15,WF15,0.04455136451614921,0.053386193710950096
2022Q1,BD15,WF15,0.0308000011306376,0.0369078443391261
2023Q3,BD15,WF15,0.02563720178174242,0.030721227854439613
2019Q1,BD16,WF15,0.0057691149650871435,0.05486801801865943
2019Q3,BD16,WF15,0.008197267836140174,0.07796132371411715
2019Q4,BD16,WF15,0.0050813736515995965,0.04832715291041118
2020Q1,BD16,WF15,0.002794299042906224,0.026575592818574655
2020Q3,BD16,WF15,0.009871461469008802,0.09388398897055014
2020Q4,BD16,WF15,0.008546920388882296,0.08128674584216017
2021Q1,BD16,WF15,0.004164790980703801,0.039609858350214834
2021Q2,BD16,WF15,0.0074009486020099905,0.07038781229143395
2021Q3,BD16,WF15,0.014938654259896662,0.14207627271545498
2021Q4,BD16,WF15,0.012418051914933228,0.11810371267491505
2022Q1,BD16,WF15,0.010523598475559164,0.100086234070982
2022Q3,BD16,WF15,0.01772242416587958,0.1685517266257352
2022Q4,BD16,WF15,0.010722495697902288,0.1019778754137922
2023Q1,BD16,WF15,0.00918822394819365,0.08738595784619661
2023Q2,BD16,WF15,0.01275175860713254,0.12127747934646592
2019Q4,BD17,WF15,0.011190138218588724,0.07015106770477259
2020Q4,BD17,WF15,0.0042672714423299726,0.02675155945511514
2021Q1,BD17,WF15,0.0019570022983422144,0.012268463360116959
2021Q2,BD17,WF15,0.007147513466132145,0.04480782017960151
2021Q3,BD17,WF15,0.011054962405200049,0.0693036494288013
2021Q4,BD17,WF15,0.008991222920876063,0.056366049779734334
2022Q2,BD17,WF15,0.009652328674880795,0.0605105271403589
2022Q3,BD17,WF15,0.01553921688131649,0.097415477291384
2022Q4,BD17,WF15,0.01435319685196024,0.08998030805992836
2023Q1,BD17,WF15,0.010534110790906655,0.06603842641325898
2023Q2,BD17,WF15,0.007185554746949178,0.04504630127912348
2023Q3,BD17,WF15,0.007277518619992294,0.04562282354884164
2019Q1,BD18,WF15,0.01026133156126321,0.09100716599816132
2019Q2,BD18,WF15,0.003552411062430395,0.0315061316674294
2019Q3,BD18,WF15,0.009271903824602456,0.08223198767594507
2019Q4,BD18,WF15,0.00862016072577038,0.07645171520063826
2020Q1,BD18,WF15,0.004213291356719761,0.037367441409564064
2021Q1,BD18,WF15,0.009334363082121213,0.08278593527847547
2021Q2,BD18,WF15,0.006842323552509239,0.060684178426418586
2021Q4,BD18,WF15,0.004266287090372039,0.03783745755716562
2022Q1,BD18,WF15,0.007375478907442067,0.0654127029458239
2022Q2,BD18,WF15,0.0014958894277219302,0.013266958254960166
2022Q3,BD18,WF15,0.0062172088518669755,0.055140071700152934
2022Q4,BD18,WF15,0.0038013343729596904,0.03371381835086824
2023Q1,BD18,WF15,0.010674920187069227,0.09467525999736212
2023Q2,BD18,WF15,0.011529117430962096,0.10225108677052612
2023Q3,BD18,WF15,0.010262767406263642,0.09101990042580567
2019Q1,BD19,WF15,1.2785066046148799,9.324855839622435
2019Q2,BD19,WF15,1.325816741616189,9.669914837125916
2019Q3,BD19,WF15,1.2638870830939408,9.218227582767964
2019Q4,BD19,WF15,1.2434464506484764,9.069142744147136
2020Q1,BD19,WF15,1.20828614068618,8.812699155595153
2020Q2,BD19,WF15,0.8935206861865235,6.516940591730187
2020Q3,BD19,WF15,1.4061552626545406,10.255868108189985
2020Q4,BD19,WF15,1.0976778110951293,8.005971427811001
2021Q1,BD19,WF15,1.0585727675545,7.720756715347028
2021Q2,BD19,WF15,1.3180589375317788,9.61333288091385
2021Q3,BD19,WF15,1.4130517410468546,10.306167939710033
2021Q4,BD19,WF15,1.1314219692422811,8.252086237868157
2022Q1,BD19,WF15,1.5418486217082097,11.245554830966622
2022Q2,BD19,WF15,1.410911640741587,10.290559004443748
2022Q3,BD19,WF15,1.3193558068890576,9.62279166646552
2022Q4,BD19,WF15,1.1553326656849094,8.426480172594559
2023Q1,BD19,WF15,1.9228766323147164,14.024602867901928
2023Q2,BD19,WF15,2.634956160746696,19.218192736743227
2023Q3,BD19,WF15,1.8959917313537982,13.828516414520948
2019Q1,BD2,WF15,0.03417079459911132,0.29432619544352684
2019Q2,BD2,WF15,0.01594329743641134,0.13732575236648212
2019Q3,BD2,WF15,0.012990907128231323,0.11189567919828118
2019Q4,BD2,WF15,0.017120880013750433,0.14746872398522848
2020Q1,BD2,WF15,0.009630398404701179,0.08295032516261197
2020Q3,BD2,WF15,0.04605111965389027,0.3966560041304
2020Q4,BD2,WF15,0.01394927642204133,0.12015048249993855
2021Q1,BD2,WF15,0.007363604024958844,0.06342555339568086
2021Q3,BD2,WF15,0.030820097383672907,0.2654653517004067
2021Q4,BD2,WF15,0.02105690760918219,0.1813712434002816
2022Q1,BD2,WF15,0.021875899726401363,0.18842553747764632
2022Q2,BD2,WF15,0.027164100981516958,0.2339748486487227
2022Q3,BD2,WF15,0.02815076236372848,0.24247334258848385
2022Q4,BD2,WF15,0.015940071735120902,0.13729796816071255
2023Q1,BD2,WF15,0.02703218323916025,0.2328385904002721
2023Q2,BD2,WF15,0.023984701945022644,0.2065894619994897
2023Q3,BD2,WF15,0.03776516666619793,0.32528590439748845
2019Q2,BD20,WF15,0.0031115811523136448,0.02356042765495828
2019Q3,BD20,WF15,0.005086257533548781,0.03851238222231761
2019Q4,BD20,WF15,0.0022353572089232557,0.016925790852237797
2020Q3,BD20,WF15,0.002724076426345586,0.020626299758169743
2020Q4,BD20,WF15,0.001439783785536083,0.010901827738827216
2021Q1,BD20,WF15,0.001148830345600311,0.008698771756349973
2021Q2,BD20,WF15,0.014128824414705553,0.10698134780279203
2022Q1,BD20,WF15,0.006642239224681915,0.05029404314384725
2022Q2,BD20,WF15,0.005433169438548396,0.0411391473427805
2022Q3,BD20,WF15,0.0026053558030612323,0.019727364934000763
2022Q4,BD20,WF15,0.003485860721920986,0.026394416643452386
2023Q1,BD20,WF15,0.0022358923308569267,0.016929842715579187
2023Q3,BD20,WF15,0.0069436657653195255,0.05257639988029175
2019Q1,BD21,WF15,0.005696337875441686,0.1359336478899036
2019Q2,BD21,WF15,0.009790349530043024,0.2336304402647043
2019Q3,BD21,WF15,0.0047538329912948365,0.1134423333194528
2019Q4,BD21,WF15,0.006350143636387079,0.15153563710474635
2020Q1,BD21,WF15,0.0037727362482155775,0.09003008809526547
2020Q2,BD21,WF15,0.0010912448457895435,0.02604074685751082
2021Q1,BD21,WF15,0.002495154092357677,0.05954271063938624
2021Q2,BD21,WF15,0.005618572005085119,0.13407789447954574
2021Q3,BD21,WF15,0.007075408615695059,0.1688428819486953
2021Q4,BD21,WF15,0.00665958194210721,0.15891986862562452
2022Q1,BD21,WF15,0.006696621394394945,0.15980375367166832
2022Q2,BD21,WF15,0.006005145515962418,0.14330282963265656
2022Q3,BD21,WF15,0.010619916830789942,0.25342668687550873
2022Q4,BD21,WF15,0.006112188805383357,0.14585724005059458
2023Q1,BD21,WF15,0.005055945878160418,0.12065175587903085
2023Q2,BD21,WF15,0.0040888693075908575,0.09757407879931852
2023Q3,BD21,WF15,0.00549188106906754,0.13105462558924658
2019Q2,BD23,WF15,0.0021308763958856874,0.032716481131265435
2021Q1,BD23,WF15,0.0006963680385768923,0.010691709682694991
2021Q2,BD23,WF15,0.0044221689037384935,0.06789591633647743
2021Q3,BD23,WF15,0.0026162340986976037,0.04016843665370684
2021Q4,BD23,WF15,0.004578890355547501,0.07030214432364451
2022Q1,BD23,WF15,0.005377012350927978,0.0825561367432565
