time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AL1,WV16,0.0012893015805011275,0.006816915056613497
2019Q3,AL1,WV16,0.0009566270381054633,0.0050579673198647744
2021Q3,AL1,WV16,0.0012306146951427538,0.006506620305970476
2021Q4,AL1,WV16,0.000999891287252532,0.005286718075998259
2022Q3,AL1,WV16,0.0007990311861834519,0.004224711895319785
2022Q4,AL1,WV16,0.0005230218352607843,0.002765369621544294
2023Q3,AL1,WV16,0.0011695980482593266,0.006184007423822271
2020Q3,AL2,WV16,0.010727661701166598,0.0054870658677520215
2021Q2,AL2,WV16,0.02245028770304623,0.011483043631325716
2021Q3,AL2,WV16,0.019832610070924243,0.010144133998629849
2022Q1,AL2,WV16,0.006471746189634932,0.0033102178844844014
2022Q2,AL2,WV16,0.008969208091084651,0.004587638662394054
2022Q3,AL2,WV16,0.011571958273205944,0.0059189130896115
2023Q3,AL2,WV16,0.02423780008246287,0.012397334036681676
2019Q2,AL3,WV16,0.004266735730061293,0.01010616157671717
2019Q3,AL3,WV16,0.002537511189127737,0.006010331949873125
2021Q2,AL3,WV16,0.0034364861723048877,0.008139638053695112
2021Q3,AL3,WV16,0.0021160468228514358,0.005012054284254537
2019Q1,AL5,WV16,0.001169224082104838,0.004004614372061842
2019Q2,AL5,WV16,0.0013912271496809374,0.00476497903497284
2019Q3,AL5,WV16,0.0011834912493878112,0.004053479687123736
2020Q3,AL5,WV16,0.0019226494077065211,0.0065851102182886406
2021Q3,AL5,WV16,0.0021206360770229487,0.0072632182675121185
2022Q3,AL5,WV16,0.001618847914374708,0.005544584415689458
2023Q2,AL5,WV16,0.000588342310831613,0.002015083429864812
2023Q3,AL5,WV16,0.0008111776298325528,0.0027782985694877536
2019Q1,B1,WV16,0.007677902534293538,0.011750275823070444
2019Q2,B1,WV16,0.007046359096642285,0.010783760612242085
2019Q3,B1,WV16,0.002176809295734104,0.0033313928543445546
2019Q4,B1,WV16,0.018754658233405986,0.02870216263173968
2023Q1,B1,WV16,0.015736101448727398,0.024082557909075968
2023Q2,B1,WV16,0.010928615059166235,0.01672517210733
2023Q3,B1,WV16,0.013758254278758505,0.021055657049210842
2019Q1,B10,WV16,0.0008263165246716048,0.0016529710847082426
2019Q2,B10,WV16,0.0002678900157585347,0.0005358896218454264
2019Q3,B10,WV16,0.0024902473672325947,0.004981513462340853
2023Q3,B10,WV16,0.010242314698245191,0.02048881939449288
2019Q1,B11,WV16,0.002401810946014785,0.003649831824164557
2019Q2,B11,WV16,0.0027873521151075857,0.004235706591208712
2019Q3,B11,WV16,0.005074472099960446,0.007711252124985852
2021Q3,B11,WV16,0.0362669969244272,0.05511193117063831
2022Q2,B11,WV16,0.02247701666191835,0.03415644801730435
2022Q3,B11,WV16,0.012955858091114507,0.0196879372411764
2022Q4,B11,WV16,0.021690928029748945,0.032961894669520486
2023Q2,B11,WV16,0.00919463769188841,0.013972324222770314
2023Q3,B11,WV16,0.01816525285216147,0.02760422008394277
2019Q1,B12,WV16,0.003797356244512189,0.003219511643400762
2019Q2,B12,WV16,0.003391504415059187,0.0028754183831732646
2019Q3,B12,WV16,0.006963120588751362,0.005903540875914947
2019Q4,B12,WV16,0.005890735177850545,0.0049943406075446005
2020Q1,B12,WV16,0.003927517008750962,0.0033298658132488697
2023Q1,B12,WV16,0.0166592570029997,0.014124213910421032
2023Q3,B12,WV16,0.046974467471046895,0.03982635160557962
2019Q1,B13,WV16,0.00623936124794742,0.020070410134275418
2019Q2,B13,WV16,0.010046463457854005,0.032316872510703504
2019Q3,B13,WV16,0.005778885944079122,0.01858918027146179
2019Q4,B13,WV16,0.006417443346563703,0.02064325415063641
2020Q1,B13,WV16,0.003479452668947924,0.011192498612186876
2020Q3,B13,WV16,0.011660152479774323,0.0375076924058928
2021Q2,B13,WV16,0.019565358302959933,0.06293669335040335
2021Q3,B13,WV16,0.021260255546854543,0.06838873907569434
2021Q4,B13,WV16,0.01678380263751054,0.0539891487543516
2022Q1,B13,WV16,0.00836413038548074,0.02690524247307828
2022Q2,B13,WV16,0.014928925829282296,0.04802249017981505
2022Q3,B13,WV16,0.013595699497594338,0.043733846163955946
2022Q4,B13,WV16,0.009704445821503165,0.031216690302632924
2023Q1,B13,WV16,0.011059477478577051,0.03557547640615378
2023Q2,B13,WV16,0.014660710832699216,0.0471597119607535
2023Q3,B13,WV16,0.013625828191015826,0.04383076237216204
2019Q1,B14,WV16,0.006448156683195411,0.01901746439743134
2019Q2,B14,WV16,0.0056578383577662655,0.016686588868979044
2019Q3,B14,WV16,0.006669242849965749,0.019669510945288474
2019Q4,B14,WV16,0.00722977653648933,0.021322685635476145
2020Q1,B14,WV16,0.006294242051247099,0.018563525981054298
2020Q3,B14,WV16,0.012621310479480707,0.03722386636757497
2020Q4,B14,WV16,0.007945156834118566,0.023432547416013087
2021Q2,B14,WV16,0.011024761147454404,0.03251518424766302
2021Q3,B14,WV16,0.014136777624817931,0.04169341385190278
2021Q4,B14,WV16,0.013273419747650141,0.039147123726219306
2022Q1,B14,WV16,0.006461515051117366,0.01905686205769999
2022Q2,B14,WV16,0.010353770671912076,0.030536240790396064
2022Q3,B14,WV16,0.01324780757969642,0.0390715860933528
2022Q4,B14,WV16,0.008834644645438603,0.02605590221565875
2023Q1,B14,WV16,0.011326411734715292,0.033404838390008615
2023Q2,B14,WV16,0.01537668959929995,0.04535027006510749
2023Q3,B14,WV16,0.021361790712280827,0.06300205070929862
2019Q1,B15,WV16,0.008075025631015564,0.033339379228373614
2019Q2,B15,WV16,0.0105584122426781,0.04359254396123532
2019Q3,B15,WV16,0.011545987211603673,0.04766994729219143
2019Q4,B15,WV16,0.011171689098443523,0.04612458170335906
2022Q4,B15,WV16,0.022697457307887033,0.09371105074898643
2023Q1,B15,WV16,0.020523741974431232,0.08473642662417122
2023Q2,B15,WV16,0.02756816561363161,0.11382075674079077
2023Q3,B15,WV16,0.04384096101316677,0.1810062892358257
2019Q1,B16,WV16,0.020458608035981568,0.03814222888251942
2019Q2,B16,WV16,0.03471085366746192,0.06471355836934144
2019Q3,B16,WV16,0.02864062060903162,0.05339645320374672
2023Q1,B16,WV16,0.029186885341520006,0.05441488781182835
2023Q2,B16,WV16,0.0372096708094185,0.06937225534405465
2023Q3,B16,WV16,0.058767087842987425,0.10956306075780424
2019Q1,B17,WV16,0.011188360734987444,0.034549406592593736
2019Q2,B17,WV16,0.013115374023144196,0.04049998033425576
2019Q3,B17,WV16,0.014156782747560534,0.04371582707902688
2023Q1,B17,WV16,0.02785594434523905,0.08601853032810765
2023Q2,B17,WV16,0.04044110289733991,0.12488121719957085
2023Q3,B17,WV16,0.034401037791559716,0.10622963184866542
2019Q1,B18,WV16,0.019451220848737853,0.027930090653761768
2019Q2,B18,WV16,0.032318428009593614,0.04640616808140322
2019Q3,B18,WV16,0.024694978740572696,0.035459624888361206
2019Q4,B18,WV16,0.035682041833750885,0.05123599546157279
2023Q2,B18,WV16,0.035082741037941165,0.050375456902784915
2023Q3,B18,WV16,0.04674276794915154,0.06711813908134541
2019Q1,B19,WV16,0.004362241220246181,0.0058240329361996575
2019Q2,B19,WV16,0.004632322123637465,0.0061846182402605435
2019Q3,B19,WV16,0.004974917690813365,0.006642017949787805
2019Q4,B19,WV16,0.00927417561738332,0.01238196182298512
2023Q2,B19,WV16,0.02029587075591894,0.02709703883469621
2019Q1,B20,WV16,0.002567189089507041,0.0035136197584295305
2019Q2,B20,WV16,0.0071705606361403265,0.009814089516482643
2019Q3,B20,WV16,0.004734728559209905,0.006480253396384995
2023Q3,B20,WV16,0.07102196972346912,0.09720522618413092
2019Q2,B21,WV16,0.01059599690091263,0.002070158712049154
2019Q3,B21,WV16,0.01769351712650058,0.00345681382967008
2020Q1,B21,WV16,0.14835020947546732,0.028983443601564705
2023Q3,B21,WV16,0.3794429877184104,0.07413244965026101
2019Q1,B23,WV16,0.006346359522202816,0.014433897844625778
2019Q2,B23,WV16,0.006956094888300632,0.015820654764986418
2019Q3,B23,WV16,0.01184566045770507,0.026941280642936424
2019Q4,B23,WV16,0.008165225812129756,0.01857065217283416
2020Q1,B23,WV16,0.00461356877984643,0.01049291018488411
2020Q3,B23,WV16,0.025197128245530283,0.057307307252533565
2020Q4,B23,WV16,0.010739077157112623,0.024424513311769508
2021Q2,B23,WV16,0.01982485924138801,0.04508884062952636
2021Q3,B23,WV16,0.01767261246352269,0.04019385949594094
2021Q4,B23,WV16,0.014372602195899616,0.03268845251065331
2022Q1,B23,WV16,0.016833387064978576,0.038285159929075455
2022Q2,B23,WV16,0.0132243015732397,0.03007680502607456
2022Q3,B23,WV16,0.013823965697422084,0.031440656329999934
2022Q4,B23,WV16,0.007965367611452414,0.01811610294001884
2023Q1,B23,WV16,0.005724672949032021,0.013019959592761962
2023Q2,B23,WV16,0.005204773060819853,0.011837520771003864
2023Q3,B23,WV16,0.0025735380174566128,0.005853148519757371
2019Q1,B24,WV16,0.0034773155367933124,0.0074898311661116485
2019Q2,B24,WV16,0.005394584399268447,0.011619459302540163
2019Q3,B24,WV16,0.005896387518038288,0.012700298990065412
2019Q4,B24,WV16,0.004930261724426696,0.010619349187606758
2020Q1,B24,WV16,0.004165528328769165,0.008972180859062116
2020Q3,B24,WV16,0.006782117050462399,0.014608082332273484
2021Q2,B24,WV16,0.006580157483117242,0.014173079225482926
2021Q3,B24,WV16,0.013201292954740979,0.028434421426296395
2021Q4,B24,WV16,0.00451811863356553,0.0097316292973157
2022Q2,B24,WV16,0.0046764061577964965,0.010072566672612115
2022Q3,B24,WV16,0.004223379606660686,0.00909678741246994
2022Q4,B24,WV16,0.0032213803490624394,0.006938569330569668
2023Q1,B24,WV16,0.00445530462350194,0.009596333456238084
2023Q2,B24,WV16,0.00413835146211261,0.008913644283727555
2019Q2,B25,WV16,0.0138061484396068,0.01848411984407872
2019Q3,B25,WV16,0.005458343758750079,0.007307807867506095
2019Q4,B25,WV16,0.01027287000098761,0.013753651937868342
2020Q3,B25,WV16,0.007758430691192282,0.010387238941062766
2021Q2,B25,WV16,0.0023730838399480553,0.0031771617036804537
2021Q3,B25,WV16,0.005093967528783369,0.006819969138804865
2022Q2,B25,WV16,0.00571771089573181,0.007655057012664674
2022Q3,B25,WV16,0.0011611830984602765,0.0015546296381461831
2022Q4,B25,WV16,0.004244922248355929,0.005683239747177579
2023Q1,B25,WV16,0.0032300371186886304,0.0043244785802378175
2023Q2,B25,WV16,0.004538506685731027,0.006076300125206682
2023Q3,B25,WV16,0.008310697919541244,0.011126632239593034
2019Q2,B26,WV16,0.0052342531338916655,0.008751472519365897
2019Q3,B26,WV16,0.0052791886170861285,0.008826602941273558
2019Q4,B26,WV16,0.0024271858625757397,0.0040581626131505006
2020Q1,B26,WV16,0.0037481551144780225,0.0062667730512083525
2020Q3,B26,WV16,0.0015632433543830006,0.002613683539373001
2022Q1,B26,WV16,0.002499521030644876,0.004179104267928686
2023Q1,B26,WV16,0.0015737161228239864,0.002631193610603513
2023Q2,B26,WV16,0.0018398583952399753,0.003076173385885876
