time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AB10,YO30,0.0017211240964439235,0.0016100367744237786
2019Q3,AB10,YO30,0.0014231816057990092,0.0013313245260781494
2021Q3,AB10,YO30,0.004000244683038973,0.0037420550091030453
2021Q4,AB10,YO30,0.003188496028308593,0.0029826994295691412
2022Q2,AB10,YO30,0.002638970857239605,0.002468642520064118
2022Q3,AB10,YO30,0.004572162029852511,0.004277058825622255
2022Q4,AB10,YO30,0.001997294263960053,0.001868381960932084
2023Q1,AB10,YO30,0.0008938532991270672,0.0008361609052525892
2023Q2,AB10,YO30,0.0017104832932066053,0.0016000827655542915
2023Q3,AB10,YO30,0.00499846566634566,0.0046758473460099936
2023Q3,AB11,YO30,0.0013625777045286613,0.0004799185247171959
2019Q2,AB12,YO30,0.0030191212390525387,0.00131566870630284
2019Q3,AB12,YO30,0.0018432628881074587,0.0008032546914655968
2021Q3,AB12,YO30,0.0041435853379665905,0.0018056862011837386
2021Q4,AB12,YO30,0.004828731148753487,0.0021042581468369357
2022Q2,AB12,YO30,0.002156507250540374,0.0009397599101855
2022Q3,AB12,YO30,0.004380874872694535,0.0019090919243910285
2023Q2,AB12,YO30,0.0010091458203546773,0.00043976424621941203
2023Q3,AB12,YO30,0.0041498502252152476,0.0018084163055581371
2019Q1,AB15,YO30,0.001042412033208212,0.0009448335554830537
2019Q2,AB15,YO30,0.00372706216614174,0.003378178000405618
2019Q3,AB15,YO30,0.0023396228652360035,0.002120614612867621
2019Q4,AB15,YO30,0.00262952680246393,0.002383381118849509
2020Q3,AB15,YO30,0.0006213103046014835,0.0005631504678127829
2021Q2,AB15,YO30,0.0013311964443821136,0.0012065853324054311
2021Q3,AB15,YO30,0.00646878147244829,0.005863249467147532
2021Q4,AB15,YO30,0.003362176638676396,0.00304744880765221
2022Q1,AB15,YO30,0.0010948431700717033,0.0009923566997701422
2022Q2,AB15,YO30,0.0023918407590415853,0.002167944475429089
2022Q3,AB15,YO30,0.004409066776100707,0.003996341279373307
2022Q4,AB15,YO30,0.003474369142519017,0.003149139155544613
2023Q3,AB15,YO30,0.004862821347949822,0.004407620631279309
2019Q3,AB21,YO30,0.0036434605887798,0.0010504861787506883
2023Q3,AB21,YO30,0.005282850261247325,0.0015231566387570931
2019Q3,AB22,YO30,0.0017009276481275615,0.00101697595957113
2019Q2,AB24,YO30,0.002775108295314993,0.0013205490698747734
2019Q4,AB24,YO30,0.001121710775520402,0.0005337716455183755
2019Q1,AB25,YO30,0.0010441793980927932,0.0009802041112717157
2019Q2,AB25,YO30,0.0023137642130719505,0.0021720033916671324
2019Q3,AB25,YO30,0.0010715121855709069,0.0010058622603479168
2019Q4,AB25,YO30,0.0014908208236061485,0.001399480494575291
2020Q1,AB25,YO30,0.0008833998092267145,0.0008292752437773375
2021Q2,AB25,YO30,0.0010982272829365208,0.0010309405642472548
2021Q3,AB25,YO30,0.004054543635536328,0.00380612790114644
2021Q4,AB25,YO30,0.0015059027571863507,0.0014136383809770364
2022Q2,AB25,YO30,0.002353039009391726,0.002208871880829357
2022Q3,AB25,YO30,0.002765604530365512,0.0025961601385426397
2022Q4,AB25,YO30,0.002575098604835383,0.002417326221911716
2023Q1,AB25,YO30,0.0007048616296262682,0.0006616758274481394
2023Q2,AB25,YO30,0.00032351519642173995,0.0003036939113821563
2019Q3,AB31,YO30,0.00509266945851589,0.0014181805015291322
2021Q3,AB31,YO30,0.0052473608441363255,0.0014612581661269356
2022Q4,AB31,YO30,0.0015133381039692784,0.00042142664250111
2021Q3,AB32,YO30,0.012142466191118868,0.0018032218591820695
2022Q3,AB33,YO30,0.02802640420183867,0.001070273395411149
2021Q3,AB39,YO30,0.0061250004503127144,0.0018429654140129086
2021Q4,AB39,YO30,0.005525917738237844,0.0016627060446555287
2022Q3,AB39,YO30,0.006423939592124098,0.001932913897073829
2023Q3,AB39,YO30,0.004051777608096772,0.0012191486445708025
2021Q3,AB41,YO30,0.003195646433187884,0.0008383594848815294
2023Q3,AB41,YO30,0.0027938422433320125,0.000732948463770921
2023Q3,AB42,YO30,0.0049971640968777,0.002052893528253128
2019Q3,AB51,YO30,0.0023416633124685067,0.001843545259189772
2019Q4,AB51,YO30,0.0015258481299947133,0.0012012700849508508
2021Q3,AB51,YO30,0.0035406207065427093,0.002787460726476125
2021Q4,AB51,YO30,0.0015050722167185035,0.001184913618920165
2022Q2,AB51,YO30,0.0018420900595535622,0.0014502411077665324
2022Q3,AB51,YO30,0.002008727000602038,0.0015814310790318552
2019Q3,AB54,YO30,0.018347067230336328,0.002913383770718273
2023Q3,AB54,YO30,0.01679058059203387,0.002666224764080289
2019Q1,AL1,YO30,0.0034246146622363737,0.0042972084455182545
2019Q2,AL1,YO30,0.003342341348215268,0.004193971843820884
2019Q3,AL1,YO30,0.004385458376159911,0.0055028756897269855
2019Q4,AL1,YO30,0.0032094101616948565,0.004027169714609873
2020Q1,AL1,YO30,0.0037814147516642047,0.004744921402703835
2020Q3,AL1,YO30,0.002685656665789841,0.0033699635270667216
2020Q4,AL1,YO30,0.00198079790621,0.0024855063506245595
2021Q2,AL1,YO30,0.0034094038225273467,0.004278121875113171
2021Q3,AL1,YO30,0.006067565451476059,0.0076135846141565265
2021Q4,AL1,YO30,0.0039468278199430076,0.004952481815805196
2022Q1,AL1,YO30,0.0034494141072303327,0.004328326803343253
2022Q2,AL1,YO30,0.00401521883595119,0.005038298901980965
2022Q3,AL1,YO30,0.0026764916535094645,0.0033584632643922662
2023Q1,AL1,YO30,0.0030563583074580732,0.0038351201599896062
2023Q3,AL1,YO30,0.003051987597820163,0.003829635791025107
2019Q1,AL10,YO30,0.0029882101895485577,0.0029240625860588393
2019Q4,AL10,YO30,0.002825921251650694,0.0027652574882454017
2020Q1,AL10,YO30,0.0016364690101735007,0.001601339096770829
2020Q3,AL10,YO30,0.002122002550986142,0.0020764497385632
2020Q4,AL10,YO30,0.0015430658377913894,0.0015099410007677506
2021Q1,AL10,YO30,0.0009114648457991092,0.0008918985228785744
2021Q3,AL10,YO30,0.0017754997433703469,0.001737385271392382
2021Q4,AL10,YO30,0.0016534065138092734,0.0016179130047428384
2022Q1,AL10,YO30,0.0012622637549201878,0.0012351668675816515
2022Q2,AL10,YO30,0.005947532800009865,0.0058198577197455924
2023Q1,AL10,YO30,0.0005717518537807447,0.000559478115025982
2023Q2,AL10,YO30,0.0013841100820959002,0.0013543975320741686
2023Q3,AL10,YO30,0.0014154173045596902,0.0013850326855851132
2019Q4,AL2,YO30,0.015229382556043057,0.0018486672249187317
2020Q3,AL2,YO30,0.006054772752948832,0.0007349779218899424
2021Q3,AL2,YO30,0.006984255306325482,0.0008478061292212606
2022Q2,AL2,YO30,0.002735106905460795,0.00033200968418564767
2022Q3,AL2,YO30,0.0035861705881671227,0.00043531876653012667
2023Q3,AL2,YO30,0.014236408581996781,0.0017281319087782718
2019Q1,AL3,YO30,0.013468292251309605,0.007570845192578558
2019Q3,AL3,YO30,0.004067178412845215,0.002286257051724906
2019Q4,AL3,YO30,0.008229730008309961,0.004626125622093965
2020Q1,AL3,YO30,0.00678305765419064,0.003812916921758882
2020Q3,AL3,YO30,0.0048551354011119345,0.0027291862862013627
2021Q3,AL3,YO30,0.009596373130325823,0.005394348000790737
2021Q4,AL3,YO30,0.0050630738677695675,0.002846073409770725
2022Q1,AL3,YO30,0.0029191328603664977,0.0016409135300917495
2022Q2,AL3,YO30,0.002021490265049288,0.0011363274251421605
2022Q4,AL3,YO30,0.002855092282582316,0.0016049148086948193
2023Q2,AL3,YO30,0.001174349467649133,0.0006601295736431707
2023Q3,AL3,YO30,0.0011933897199702024,0.0006708325491994394
2019Q4,AL4,YO30,0.005569482801492271,0.0013691352636527778
2020Q4,AL4,YO30,0.00737126734330098,0.0018120644981292355
2021Q1,AL4,YO30,0.003852612995085443,0.0009470804555433992
2021Q2,AL4,YO30,0.005914448914062421,0.0014539376207690364
2021Q3,AL4,YO30,0.007885964645731144,0.001938591547763949
2021Q4,AL4,YO30,0.003588630380167088,0.000882186116166114
2022Q1,AL4,YO30,0.002260658268187637,0.0005557332815920731
2022Q2,AL4,YO30,0.006696666945386018,0.00164622877754633
2022Q3,AL4,YO30,0.004960042669285004,0.0012193177660807214
2022Q4,AL4,YO30,0.009154771629571784,0.002250499932485002
2023Q1,AL4,YO30,0.003285335387747862,0.0008076276905077741
2023Q3,AL4,YO30,0.020350641898988837,0.005002759224682385
2019Q1,AL5,YO30,0.003384499035438177,0.002751051281412251
2019Q3,AL5,YO30,0.003484636715805545,0.002832447048114437
2019Q4,AL5,YO30,0.002242263678110297,0.001822598352175585
2020Q3,AL5,YO30,0.00649126388110114,0.005276349507299055
2020Q4,AL5,YO30,0.0010850477951352949,0.0008819686742247905
2021Q2,AL5,YO30,0.0056381170008445065,0.004582878835986243
2021Q3,AL5,YO30,0.007981707289929087,0.006487839363492121
